program.program_id,api_source_search,queried_project_id,grant_id,earliest_fiscal_year
spore_in_leukemia_msk,1,1,4,2021
spore_in_lung_cancer_fred_hutch,1,1,6,2019
spore_in_lung_cancer_yale,1,1,13,2015
spore_in_myeloid_malignancies,1,1,6,2017
spore_kidney_cancer,1,1,8,2016
spore_kidney_cancer_df_hcc,1,1,21,2003
spore_leiomyosarcoma,1,1,3,2022
spore_leukemia_texas,1,1,23,2003
spore_leukemia_wustl,1,1,18,2013
spore_liver_cancer,1,1,3,2021
spore_liver_mayo_clinic,1,1,11,2018
spore_lung_cancer_df_hcc,1,1,3,2022
spore_lung_cancer_emory,1,1,6,2019
spore_lung_cancer_texas,1,1,38,2000
spore_lymphoma,1,1,18,2004
spore_lymphoma_cancer_baylor,1,1,21,2007
spore_melanoma,1,1,6,2019
spore_myeloma_cancer_df_hcc,1,1,21,2003
spore_myeloma_cancer_mayo,1,1,9,2015
spore_ovarian_cancer_df_hcc,1,1,5,2020
spore_ovarian_cancer_jhu_upenn,1,1,6,2018
spore_ovarian_cancer_mayo,1,1,16,2009
spore_ovarian_cancer_pittsburgh,1,1,2,2023
spore_ovarian_cancer_roswell_chicago,1,1,14,2013
spore_ovarian_cancer_texas,1,1,4,2023
spore_pancreas_cancer_mskcc,1,1,3,2022
spore_pancreas_cancer_unc,1,1,6,2022
spore_pancreas_cancer_wustl,1,1,2,2023
spore_prostate_cancer_df_hcc,1,1,2,2023
spore_prostate_cancer_fred_hutch,1,1,25,2002
spore_prostate_cancer_michigan,1,1,13,2014
spore_prostate_cancer_mskcc,1,1,25,2001
spore_prostate_cancer_northwestern,1,1,9,2015
spore_prostate_cancer_ucla,1,1,21,2002
spore_prostate_cancer_wisconsin,1,1,2,2023
spore_radiation_therapy,1,1,2,2023
spore_sarcoma_cancer,1,1,7,2018
spore_skin_cancer_pittsburgh,1,1,4,2021
spore_skin_cancer_texas,1,1,5,2019
spore_skin_cancer_wistar,1,1,4,2021
spore_skin_cancer_yale,1,1,22,2006
spore_targeted_therapies_for_glioma,1,1,16,2013
sub_saharan_african_collaborative_hiv_and_cancer_consortia,1,8,51,2014
synbio,1,6,26,2021
tbel,2,6,18,2022
tec,2,19,57,2020
the_chernobyl_tissue_bank_coordinating_center,2,1,11,2012
tlc,4,8,40,2018
trace,4,4,13,2022
tracer,1,1,3,2021
trpcd,1,1,1,2024
