api_source_search,core_project_num,program,grant_count
nofo_PA20-272,U2CCA233285,AllofUs,1
nofo_PA20-272,U2CCA233291,AllofUs,1
nofo_PA20-272,U2CCA233311,AllofUs,1
nofo_PA20-272,U54CA163004,AllofUs,1
nofo_PA20-272,U54CA163059,AllofUs,1
nofo_PA20-272,U54CA163060,AllofUs,1
nofo_PA20-272,U54CA209971,AllofUs,1
nofo_PA20-272,U54CA209975,AllofUs,1
nofo_PA20-272,U54CA209992,AllofUs,1
nofo_PA20-272,U54CA209997,AllofUs,1
nofo_PA20-272,U54CA224019,AllofUs,1
nofo_PA20-272,U54CA225088,AllofUs,1
nofo_PA20-272,U54CA231630,AllofUs,2
nofo_PA20-272,U54CA231637,AllofUs,2
nofo_PA20-272,U54CA231638,AllofUs,3
nofo_PA20-272,U54CA231652,AllofUs,1
nofo_PA20-272,U54CA243125,AllofUs,1
nofo_PA20-272,U54CA254564,AllofUs,2
nofo_PA20-272,U54CA254569,AllofUs,1
nofo_PA20-272,U54CA254571,AllofUs,1
nofo_PA20-272,U54CA268083,AllofUs,1
nofo_PA20-272,U54CA268084,AllofUs,1
nofo_PAR-16-059,R01CA210561,OncologyModelsForumU24,3
nofo_PAR-20-131,R01CA251141,OncologyModelsForumU24,3
nofo_PAR-20-131,R01CA252378,OncologyModelsForumU24,3
nofo_PAR-20-131,R01CA258113,OncologyModelsForumU24,2
nofo_PAR-20-131,R01CA258248,OncologyModelsForumU24,2
nofo_PAR-20-131,R01CA271498,OncologyModelsForumU24,2
nofo_PAR15-331,U24CA180922,ADVANCEDDEVELOPMENTOFINFORMATICSTECHNOLOGIESFORCANCERRESEARCHANDMANAGEMENT,5
nofo_PAR15-331,U24CA180996,ADVANCEDDEVELOPMENTOFINFORMATICSTECHNOLOGIESFORCANCERRESEARCHANDMANAGEMENT,3
nofo_RFA-CA-10-014,U54CA163004,BarrettsEsophagusTranslationalResearchNetworkBETRNet,7
nofo_RFA-CA-10-014,U54CA163059,BarrettsEsophagusTranslationalResearchNetworkBETRNet,6
nofo_RFA-CA-10-014,U54CA163060,BarrettsEsophagusTranslationalResearchNetworkBETRNet,6
nofo_RFA-CA-14-018,U01CA199000,PediatricPreclinicalinVivoTestingPIVOT,5
nofo_RFA-CA-14-018,U01CA199221,PediatricPreclinicalinVivoTestingPIVOT,6
nofo_RFA-CA-14-018,U01CA199287,PediatricPreclinicalinVivoTestingPIVOT,5
nofo_RFA-CA-14-018,U01CA199288,PediatricPreclinicalinVivoTestingPIVOT,4
nofo_RFA-CA-14-018,U01CA199297,PediatricPreclinicalinVivoTestingPIVOT,5
nofo_RFA-CA-15-014,U54CA209971,CancerSystemsBiologyConsortiumCSBC,6
nofo_RFA-CA-15-014,U54CA209975,CancerSystemsBiologyConsortiumCSBC,6
nofo_RFA-CA-15-014,U54CA209992,CancerSystemsBiologyConsortiumCSBC,6
nofo_RFA-CA-15-014,U54CA209997,CancerSystemsBiologyConsortiumCSBC,7
nofo_RFA-CA-15-014,U54CA225088,CancerSystemsBiologyConsortiumCSBC,5
nofo_RFA-CA-15-015,U24CA209923,CancerSystemsBiologyConsortiumCSBC,8
nofo_RFA-CA-16-006,U54CA163004,BarrettsEsophagusTranslationalResearchNetworkBETRNet,6
nofo_RFA-CA-16-006,U54CA163059,BarrettsEsophagusTranslationalResearchNetworkBETRNet,5
nofo_RFA-CA-16-006,U54CA163060,BarrettsEsophagusTranslationalResearchNetworkBETRNet,5
nofo_RFA-CA-16-007,U24CA163056,BarrettsEsophagusTranslationalResearchNetworkBETRNet,5
nofo_RFA-CA-17-005,U24CA224285,CANCERIMMUNEMONITORINGANDANALYSISCENTERS,1
nofo_RFA-CA-17-005,U24CA224309,CANCERIMMUNEMONITORINGANDANALYSISCENTERS,1
nofo_RFA-CA-17-005,U24CA224319,CANCERIMMUNEMONITORINGANDANALYSISCENTERS,1
nofo_RFA-CA-17-005,U24CA224331,CANCERIMMUNEMONITORINGANDANALYSISCENTERS,1
nofo_RFA-CA-17-006,U24CA224316,CancerImmunologicDataCommons,1
nofo_RFA-CA-17-015,U01CA224145,PancreaticCancerMicroenvironmentNetwork,3
nofo_RFA-CA-17-015,U01CA224146,PancreaticCancerMicroenvironmentNetwork,3
nofo_RFA-CA-17-015,U01CA224175,PancreaticCancerMicroenvironmentNetwork,3
nofo_RFA-CA-17-015,U01CA224193,PancreaticCancerMicroenvironmentNetwork,4
nofo_RFA-CA-17-015,U01CA224348,PancreaticCancerMicroenvironmentNetwork,3
nofo_RFA-CA-17-016,U24CA224020,PancreaticCancerMicroenvironmentNetwork,3
nofo_RFA-CA-17-034,U2CCA233280,HumanTumorAtlasNetwork,5
nofo_RFA-CA-17-034,U2CCA233285,HumanTumorAtlasNetwork,5
nofo_RFA-CA-17-035,U2CCA233254,HumanTumorAtlasNetwork,2
nofo_RFA-CA-17-035,U2CCA233291,HumanTumorAtlasNetwork,1
nofo_RFA-CA-17-035,U2CCA233311,HumanTumorAtlasNetwork,1
nofo_RFA-CA-17-049,U54CA231637,FusionOncoproteinsinChildhoodCancersFusOnc2,1
nofo_RFA-CA-17-049,U54CA231638,FusionOncoproteinsinChildhoodCancersFusOnc2,1
nofo_RFA-CA-17-049,U54CA231652,FusionOncoproteinsinChildhoodCancersFusOnc2,1
nofo_RFA-CA-19-016,U54CA231630,FusionOncoproteinsinChildhoodCancersFusOnc2,3
nofo_RFA-CA-19-016,U54CA243125,FusionOncoproteinsinChildhoodCancersFusOnc2,3
nofo_RFA-CA-20-001,U54CA254564,HIVAssociatedMalignancyResearchCenters,4
nofo_RFA-CA-20-001,U54CA254569,HIVAssociatedMalignancyResearchCenters,4
nofo_RFA-CA-20-001,U54CA254571,HIVAssociatedMalignancyResearchCenters,4
nofo_RFA-CA-20-034,U01CA199000,PediatricPreclinicalinVivoTestingPIVOT,3
nofo_RFA-CA-20-034,U01CA199221,PediatricPreclinicalinVivoTestingPIVOT,3
nofo_RFA-CA-20-034,U01CA199288,PediatricPreclinicalinVivoTestingPIVOT,3
nofo_RFA-CA-20-052,U24CA055727,ChildhoodCancerSurvivorStudy,2
nofo_RFA-CA-21-002,U54CA268083,CellularCancerBiologyImagingResearch,2
nofo_RFA-CA-21-002,U54CA268084,CellularCancerBiologyImagingResearch,2
nofo_RFA-CA-21-052,U54CA224019,AcquiredResistancetoTherapyNetworkARTNet,1
nofo_RFA-CA-22-038,U24CA224285,CANCERIMMUNEMONITORINGANDANALYSISCENTERS,1
nofo_RFA-CA-22-038,U24CA224285,CancerImmunologicDataCommons,1
nofo_RFA-CA-22-038,U24CA224309,CANCERIMMUNEMONITORINGANDANALYSISCENTERS,1
nofo_RFA-CA-22-038,U24CA224309,CancerImmunologicDataCommons,1
nofo_RFA-CA-22-038,U24CA224319,CANCERIMMUNEMONITORINGANDANALYSISCENTERS,1
nofo_RFA-CA-22-038,U24CA224319,CancerImmunologicDataCommons,1
nofo_RFA-CA-22-038,U24CA224331,CANCERIMMUNEMONITORINGANDANALYSISCENTERS,1
nofo_RFA-CA-22-038,U24CA224331,CancerImmunologicDataCommons,1
nofo_RM21-010,U24CA268108,CellularSenescenceNetwork,2
