accession,name,description,Parent study,Study Disease/Focus,Study Design,Study Markerset,Study Molecular Data Type,Study Content,Ancestry (computed),NIH Institute,Study Consent,Release Date,Embargo Release Date,Related Terms,Collections
"phs003488.v1.p1","APOLLO-OV: Applied Proteogenomics of High Grade Serous Ovarian Carcinoma","APOLLO is a proteogenomic study seeking to describe the major genome, transcriptome, proteome and phosphoproteome alterations, subtypes, and molecular predictors of patient outcomes. This study includes 70 high grade serous  ovarian carcinoma tissues from the Gynecologic Cancer Center of Excellence","Not Applicable","Ovarian Neoplasms","Tumor vs. Matched-Normal","Not Provided","Not Provided","3 phenotype datasets, 13 variables, 70 subjects, 70 samples","","NCI","GRU --- General Research Use","2024-08-09","2024-08-09","Neoplasm of Ovary; Neoplasm of the Ovary; Neoplasm of the ovaries; Neoplasm, Ovarian; Neoplasm, Ovary; Neoplasms, Ovarian",""
"phs003282.v2.p1","Genetic Analysis of Skin Cells","Cutaneous squamous cell carcinoma (cSCC) is a form of skin cancer originating from keratinocytes in the skin. They have high mutation burdens, primarily driven by UV-radiation-induced DNA damage. The order  in which mutations undergo selection during the evolution of cSCC is not known. A subset of cSCCs grow out of benign neoplasms called actinic","Not Applicable","DNA Copy Number Variations","Methods","Not Provided","RNA-Seq, Targeted-Capture","4 phenotype datasets, 13 variables, 54 samples sequenced, 16 subjects, 54 samples","","NCI","GRU --- General Research Use","2024-08-09","2023-08-18","Not Provided",""
"phs003563.v1.p1","Transfer Learning Associates CAFs with EMT and Inflammation in Tumor    Cells in Human Tumors and Organoid Co-Culture in Pancreatic Ductal    Adenocarcinoma","This study examined the transcriptional changes induced by cancer associated fibroblasts (CAFs) in pancreatic ductal adenocarcinoma patient-derived tumor organoids. We hypothesized that cancer associated fibroblasts impacted tumor cell transcription to  promote tumorigenic behavior. Using patient-matched cells from 3 patients, we compared the transcriptional profiles of patient-derived organoids in","Not Applicable","Pancreatic Neoplasms","Collection","Not Provided","RNA-Seq","3 phenotype datasets, 16 variables, 12 samples sequenced, 3 subjects, 12 samples","","NCI","HMB-IRB-NPU --- Health/Medical/Biomedical (IRB, NPU)","2024-08-08","2024-08-08","Inflammation; Inflammatory Response, Innate; Innate Inflammatory Response; Innate Inflammatory Responses; Cancer of the pancreas; Neoplasia of the pancreas",""
"phs003579.v1.p1","Phase II Study of Cryoablation and Post-Progression Immune Checkpoint    Inhibition in Metastatic Melanoma","Percutaneous cryoablation guided by imaging is a well-established, minimally invasive treatment for oncological conditions. We posited that cryoablation could alter the immune microenvironment by directly influencing the tumor, potentially eliciting  an anti-tumor response in cases resistant to immune checkpoint inhibition (ICI). In this non-randomized phase II single-center study (NCT03290677),","Not Applicable","Melanoma","Collection","Not Provided","RNA-Seq","4 phenotype datasets, 19 variables, 20 samples sequenced, 15 subjects, 20 samples","","NCI","DS-MSC-MDS --- Disease-Specific (Melanoma and Skin Cancer Research, MDS)","2024-08-05","2024-08-05","Cancer of skin pigment cells; MM - malignant melanoma; Malignant Melanoma; Malignant Melanomas; Melanoma, Malignant; Melanomas",""
"phs003286.v2.p1","Multi-Omic Profiling of Glioma Patient Tumors and Patient-Derived Model    Systems","We have created a resource of transcriptomic (RNAseq), genomic (whole-exome seq), and lipidomic (untargeted shotgun) profiling data from over 175 molecularly diverse glioma tumors and derivative models in orthotopic mouse  xenografts and gliomasphere cultures from over 110 unique patient tumor lines. Provided in this dataset are matched bulk RNA and whole-exome","Not Applicable","Glioblastoma","Collection","RNAseq_gene_transcripts, RNAseq_gene_transcripts, WES_markerset_grc38","RNA-Seq, CNV Segments (NGS), RNA Seq (NGS), WXS","5 phenotype datasets, 23 variables, 1 molecular datasets, 461 samples sequenced, 119 subjects, 461 samples","","NCI","GRU-NPU --- General Research Use (NPU)","2024-08-05","2024-08-05","Astrocytoma, Grade IV; Astrocytomas, Grade IV; GBM; GBM (glioblastoma); Giant cell glioblastoma (histologic variant); Glioblastoma multiforme",""
"phs003682.v1.p1","EWS-WT1 Fusion Isoforms Establish Oncogenic Programs and Therapeutic    Vulnerabilities in Desmoplastic Small Round Cell Tumors","Desmoplastic Small Round Cell Tumor (DSRCT) is an aggressive mesenchymal tumor driven by fusions between the disordered domain of the Ewing sarcoma RNA binding protein 1 (EWSR1) and the developmental  transcription factor Wilms tumor 1 (WT1). We used genome-wide chromatin profiling to identify EWSR1-WT1-dependent gene regulatory networks and target","Not Applicable","Sarcoma","Case Set","Not Provided","ChIP-Seq","3 phenotype datasets, 10 variables, 12 samples sequenced, 2 subjects, 12 samples","","NCI","HMB --- Health/Medical/Biomedical","2024-07-31","2024-07-31","Blastoma; CA; CA - Cancer; Cancer; MT; Malignancies",""
"phs003480.v1.p1","Single-Cell RNA-Sequencing of Human Prostatectomy Tissue","The tissue microenvironment in prostate cancer is profoundly altered. How prostate cancer cells and their precursors mediate those changes is unclear, in part due to the inability to longitudinally study  the disease evolution in human tissues. To overcome this limitation, we performed extensive single-cell RNA-sequencing (scRNA-seq) to assess the","Not Applicable","Prostatic Neoplasms","Tumor vs. Matched-Normal","Not Provided","RNA-Seq","4 phenotype datasets, 17 variables, 12 samples sequenced, 7 subjects, 12 samples","","NCI","HMB-IRB-NPU --- Health/Medical/Biomedical (IRB, NPU)","2024-07-30","2024-07-30","NGP - New growth of prostate; Neoplasm of Prostate; Neoplasm of the Prostate; Neoplasm, Prostate; Neoplasm, Prostatic; Neoplasms, Prostate",""
"phs001287.v19.p6","CPTAC Proteogenomic Study","Recently, significant progress has been made in characterizing and sequencing the genomic alterations in statistically robust numbers of samples from several types of cancer. For example, The Cancer Genome Atlas  (TCGA), International Cancer Genome Consortium (ICGC) and other similar efforts are identifying genomic alterations associated with specific cancers","Not Applicable","Neoplasms","Case Set","Not Provided","Not Provided","3 phenotype datasets, 11 variables, 7117 subjects, 7117 samples","","NCI","GRU --- General Research Use","2024-07-26","2023-06-29","Lung Neoplasms; Sarcoma; Uterine Neoplasms; ADENOCARCINOMA OF LUNG; Adenocarcinoma of lung, somatic; Adenocarcinoma of the Lung","NCI's Collection of Datasets for General Research Use (phs003014.v1.p1)"
"phs003712.v1.p1","Early Detection of Malignant and Pre-Malignant Peripheral Nerve Tumors    Using Cell-Free DNA Fragmentomics","Early detection of neurofibromatosis type 1 (NF1) associated peripheral nerve sheath tumors (PNST) informs clinical decision-making, potentially averting deadly outcomes. Here, we describe a cell-free DNA (cfDNA) fragmentomic approach which  distinguishes non-malignant, pre-malignant and malignant forms of NF1 PNST. Using plasma samples from a novel cohort of 101 NF1 patients and 21","Not Applicable","Neurofibromatosis 1","Case-Control","Not Provided","WGS","3 phenotype datasets, 12 variables, 166 samples sequenced, 122 subjects, 166 samples","","NCI","GRU-IRB --- General Research Use (IRB)","2024-07-25","2024-07-25","Molluscum Fibrosum; Multiple non-ossifying fibromatosis; NEUROFIBROMATOSIS TYPE 1; NEUROFIBROMATOSIS, PERIPHERAL TYPE; NEUROFIBROMATOSIS, TYPE I; NEUROFIBROMATOSIS, TYPE I, SOMATIC",""
"phs003519.v1.p1","Childhood Cancer Data Initiative (CCDI): Single-Cell Atlas of NF1 Nerve    Sheath Tumors","The worst outcome of NF1 is the development of the aggressive and highly metastatic malignant peripheral nerve sheath tumors (MPNST), which transform from benign plexiform neurofibroma (PN) and lack effective  treatment. In this study, we performed single-cell RNA sequencing of 63 clinically annotated NF1-associated peripheral nerve sheath tumors, including","Not Applicable","Rare Diseases","Prospective Longitudinal Cohort","Not Provided","Not Provided","2 phenotype datasets, 5 variables, 29 subjects, 55 samples","","NCI","GRU --- General Research Use","2024-07-22","2024-07-22","Neurofibromatosis 1; Rare Disease; Blastoma; CA; CA - Cancer; Cancer",""
"phs002517.v3.p2","Childhood Cancer Data Initiative (CCDI): Molecular Characterization    across Pediatric Brain Tumors and Other Solid and Hematologic    Malignancies for Research, Diagnostic, and Precision Medicine","This study contains tumor and germline WGS, RNA-Seq, Clinical Panel Sequencing, and other omics and molecular data for patients with pediatric brain tumors and other solid and hematologic malignancies. This  data has been collected from multiple organizations including the multi-institute Children's Brain Tumor Network (CBTN), the Pacific Pediatric","Not Applicable","Brain Neoplasms","Tumor vs. Matched-Normal","Not Provided","RNA-Seq, Targeted-Capture, WGS, WXS, miRNA-Seq","2 phenotype datasets, 5 variables, 3187 samples sequenced, 3937 subjects, 8972 samples","","NCI","GRU --- General Research Use","2024-07-22","2023-05-12","Brain Tumor; Brain Tumors; Brain neoplasm; Brain tumour; Neoplasm of Brain; Neoplasm of the Brain",""
"phs003008.v1.p1","Comprehensive Genomic Characterization of Translocation Renal Cell    Carcinoma","Xp11 translocation renal cell carcinoma (tRCC) is a rare, female-predominant cancer driven by a fusion between the TFE3 gene on chromosome Xp11.2 and a partner gene on either chrX or  an autosome. It remains unknown what types of rearrangements underlie TFE3 fusions, whether fusions can arise from both the active (chrXa) and","Not Applicable","Kidney","Tumor vs. Matched-Normal","Not Provided","RNA-Seq, WGS","4 phenotype datasets, 15 variables, 61 samples sequenced, 16 subjects, 61 samples","","NCI","HMB --- Health/Medical/Biomedical","2024-07-19","2024-07-19","Not Provided",""
"phs001988.v2.p1","Molecular Characterization of Prostate Cancer Specimens by Bulk and    Single Cell Analysis","Version 1: We performed single-cell RNA-sequencing (scRNA-seq) of fresh biopsies from metastatic castration resistant prostate cancer. Additionally, where available, we performed matched bulk whole exome sequencing (WXS; tumor and normal  paired) and whole transcriptome sequencing for the same individuals. We also performed bulk whole exome (WXS) and RNA-sequencing (RNA-Seq) from FFPE","Not Applicable","Prostatic Neoplasms","Clinical Trial","Not Provided","RNA-Seq, WGS, WXS","4 phenotype datasets, 26 variables, 201 samples sequenced, 58 subjects, 201 samples","","NCI","GRU --- General Research Use, DS-CA-MDS --- Disease-Specific (Cancer, MDS), DS-PC-MDS --- Disease-Specific (Prostate Cancer, MDS)","2024-07-19","2021-04-27","NGP - New growth of prostate; Neoplasm of Prostate; Neoplasm of the Prostate; Neoplasm, Prostate; Neoplasm, Prostatic; Neoplasms, Prostate","NCI's Collection of Datasets for General Research Use (phs003014.v1.p1)"
"phs003569.v1.p1","Aberrant Activation of Wound Healing Programs within the Metastatic Niche    Facilitates Lung Colonization by Osteosarcoma Cells","Lung metastasis is responsible for nearly all deaths caused by osteosarcoma, the most common pediatric bone tumor. How malignant bone cells coerce the lung microenvironment to support metastatic growth is  unclear. This study delineates how osteosarcoma cells educate the lung microenvironment during metastatic progression. Using single-cell","Not Applicable","Osteosarcoma","Case Set","Not Provided","RNA-Seq","5 phenotype datasets, 19 variables, 7 samples sequenced, 5 subjects, 7 samples","","NCI","GRU-PUB-NPU --- General Research Use (PUB, NPU)","2024-07-18","2024-07-18","Bone cell cancer; OSRC; OSTEOSARCOMA; Osteoblastic osteosarcoma; Osteoblastic sarcoma; Osteochondrosarcoma",""
"phs003613.v1.p1","Chromatin Landscape of BET Inhibitor-Treated CD8+ T-cells from Chronic    Lymphocytic Leukemia Patients","The pan-BET (bromodomain and extra-terminal) inhibitor, OPN-51107 (OPN5) was found to alleviate features of T-cell exhaustion in models of chronic lymphocytic leukemia (CLL). To evaluate if OPN5 treatment could relieve  fixed chromatin states associated with terminal T-cell dysfunction, ATAC-sequencing was performed on CLL patient T-cells. Peripheral blood","Not Applicable","Leukemia, Lymphocytic, Chronic, B-Cell","Case Set","Not Provided","ATAC-seq, SRA Metadata","3 phenotype datasets, 15 variables, 1 molecular datasets, 8 samples sequenced, 5 subjects, 10 samples","","NCI","GRU --- General Research Use","2024-07-10","2024-07-10","B Cell CLL; B Cell Chronic Lymphocytic Leukemia; B Cell Leukemia, Chronic; B Cell Lymphocytic Leukemia; B Cell Malignancy, Low Grade; B Lymphocytic Leukemia, Chronic",""
"phs002790.v7.p1","Childhood Cancer Data Initiative (CCDI): Molecular Characterization    Initiative","The National Cancer Institute's (NCI) Childhood Cancer Data Initiative (CCDI) focuses on the critical need to collect, analyze, and share data to address the burden of cancer in children, adolescents,  and young adults (AYAs). The Molecular Characterization Initiative (MCI) will further the CCDI's goals by providing access to better diagnostic tests","Not Applicable","Neoplasms","Tumor vs. Matched-Normal","Not Provided","OTHER, WXS","2 phenotype datasets, 5 variables, 6375 samples sequenced, 3014 subjects, 8485 samples","","NCI","GRU --- General Research Use","2024-07-10","2022-11-03","Blastoma; CA; CA - Cancer; Cancer; MT; Malignancies",""
"phs003503.v1.p1","ILyAD (Indolent Lymphoma And vitamin D)","Indolent non-Hodgkin lymphomas are incurable diseases, and require intermittent and often morbid and expensive therapy during their prolonged natural history. Lower intensity and better-tolerated, cost-effective treatment strategies are needed for  these patients. Low vitamin D levels at diagnosis of indolent lymphomas are strongly associated with inferior outcomes to treatment. Standard therapy","Not Applicable","Lymphoma, Non-Hodgkin","Clinical Trial","WES_markerset_grc38","SNP/CNV Genotypes (NGS), WXS","4 phenotype datasets, 16 variables, 1 molecular datasets, 185 samples sequenced, 185 subjects, 185 samples","","NCI","GRU-IRB --- General Research Use (IRB)","2024-07-08","2024-07-08","Interdigitating cell sarcoma; Reticulosarcomas; Reticulum Cell Sarcoma; Reticulum Cell Sarcomas; Reticulum cell sarcoma morphology; Reticulum-Cell Sarcoma",""
"phs003462.v1.p1","Tumor detection by analysis of both symmetric- and hemi-methylation of    plasma cell-free DNA","Aberrant DNA methylation plays a critical role in tumorigenesis. While DNA methylation has been used for cancer detection and classification, DNA hemi-methylation, a novel epigenetic mark has not been analyzed  extensively in cancer epigenomes. Here we report a strand-specific (ss) sequencing method (MeDIP-Seq) for plasma cell free (cf) DNA (sscf-MeDIP-Seq),","Not Applicable","Early Detection of Cancer","Case-Control","Not Provided","MeDIP-Seq","3 phenotype datasets, 13 variables, 271 samples sequenced, 271 subjects, 271 samples","","NCI","DS-HCC --- Disease-Specific (Hepatocellular Carcinoma), DS-BT --- Disease-Specific (Brain Tumors)","2024-07-08","2024-07-08","Liver Neoplasms; Brain Neoplasms; Brain Tumor; Brain Tumors; Brain neoplasm; Brain tumour",""
"phs003220.v2.p1","Identification of High-Risk PHF19 Expressing Cells in Myeloma Single-Cell    Multiomics","The aim of this study is to identify novel subsets of cells that are associated with progression and response to treatment. In this project, we study the tumor fraction from  49 myeloma patients across stages of progression. Samples were collected from 10 smoldering multiple myeloma (SMM), 22 newly diagnosed multiple","Not Applicable","Multiple Myeloma","Case Set","Not Provided","OTHER, WGS","4 phenotype datasets, 30 variables, 186 samples sequenced, 49 subjects, 186 samples","","NCI","GRU-NPU --- General Research Use (NPU)","2024-07-08","2024-03-07","Al amyloidosis; Cell Myeloma, Plasma; Cell Myelomas, Plasma; Disease, Kahler; Familial Myeloma; Kahler Disease",""
"phs002180.v1.p1","Genomic Characterization CS-MATCH-0007 Arm Z1B","The CS-MATCH-0007 protocol is part of a collaboration between the Center for Cancer Genomics (CCG) and the Division of Cancer Treatment and Diagnosis (DCTD) to perform whole-exome sequencing and RNA  sequencing using pre-and post-treatment tumor biopsy specimens from patients enrolled on a treatment arm of the NCI-MATCH Clinical Trial (EAY131).","Not Applicable","Neoplasms","Clinical Trial","Not Provided","Not Provided","3 phenotype datasets, 384 variables, 29 subjects, 29 samples","","NCI","GRU-COL --- General Research Use (COL)","2024-07-08","2024-07-08","Blastoma; CA; CA - Cancer; Cancer; MT; Malignancies",""
"phs002177.v1.p1","Genomic Characterization CS-MATCH-0007 Arm C1","The CS-MATCH-0007 protocol is part of a collaboration between the Center for Cancer Genomics (CCG) and the Division of Cancer Treatment and Diagnosis (DCTD) to perform whole-exome sequencing and RNA  sequencing using pre-and post-treatment tumor biopsy specimens from patients enrolled on a treatment arm of the NCI-MATCH Clinical Trial (EAY131).","Not Applicable","Neoplasms","Clinical Trial","Not Provided","Not Provided","3 phenotype datasets, 316 variables, 11 subjects, 11 samples","","NCI","GRU-COL --- General Research Use (COL)","2024-07-08","2024-07-08","Blastoma; CA; CA - Cancer; Cancer; MT; Malignancies",""
"phs002152.v1.p1","Genomic Characterization CS-MATCH-0007 Arm P","The CS-MATCH-0007 protocol is part of a collaboration between the Center for Cancer Genomics (CCG) and the Division of Cancer Treatment and Diagnosis (DCTD) to perform whole-exome sequencing and RNA  sequencing using pre-and post-treatment tumor biopsy specimens from patients enrolled on a treatment arm of the NCI-MATCH Clinical Trial (EAY131).","Not Applicable","Neoplasms","Clinical Trial","Not Provided","Not Provided","3 phenotype datasets, 297 variables, 28 subjects, 28 samples","","NCI","GRU-COL --- General Research Use (COL)","2024-07-08","2024-07-08","Blastoma; CA; CA - Cancer; Cancer; MT; Malignancies",""
"phs002192.v3.p2","Cancer Moonshot Biobank","The National Cancer Institute initiated the Cancer Moonshot Biobank to accelerate research through the collection and distribution of biospecimens for key research efforts. The Biobank will engage with over one  thousand cancer patients, being treated with standard-of-care therapies, for longitudinal biospecimen and data collection. Cancer patients will be","Not Applicable","Neoplasms","Case Set","custom_markerset","SNP/CNV Genotypes (NGS)","31 phenotype datasets, 367 variables, 2 documents, 2 molecular datasets, 248 subjects, 1140 samples","","NCI","GRU --- General Research Use","2024-07-03","2024-07-03","Lung Neoplasms; CRC; Cancer of Large Bowel; Cancer of Large Intestine; Cancer of the Large Bowel; Cancer of the Large Intestine",""
"phs003455.v1.p1","Correlative Studies for Protocol #14-C-0059: T Cells Expressing an    Anti-GD2 Chimeric Antigen Receptor in Patients with GD2+ Solid Tumors,    a Collaboration with CIMAC-CIDC","This study is a retrospective correlative analysis of immune cell phenotypes in samples from a Phase I clinical trial (NCT02107963) of GD2 CAR-T cells (GD2-CAR.OX40.28.z.iC9) in children and young adults  with osteosarcoma and neuroblastoma. The study was a 3+3 dose-escalation study with four dose levels (1 x 10(5) transduced T cells/kg; 1 x 106","Not Applicable","Osteosarcoma","Clinical Trial","Not Provided","Not Provided","3 phenotype datasets, 12 variables, 15 subjects, 103 samples","","NCI","GRU-PUB-COL --- General Research Use (PUB, COL)","2024-06-28","2024-06-28","Blastoma; CA; CA - Cancer; Cancer; MT; Malignancies",""
"phs002681.v2.p1","Natural Killer Cell Therapies for Hematologic Malignancies","The ""Natural Killer Cell Therapies for Hematologic Malignancies"" study is an umbrella repository for data pertaining to multiple related clinical trials that aim to assess NK cell therapies as part  of treatment strategies for a range of hematologic malignancies. Here, data from two trials, NCT03068819 and NCT02782546, are presented. Cytokine","Not Applicable","Leukemia","Clinical Trial","Not Provided","OTHER","5 phenotype datasets, 19 variables, 81 samples sequenced, 25 subjects, 81 samples","","NCI","DS-HM --- Disease-Specific (Hematological Malignancies)","2024-06-28","2022-08-10","Blood (Leukemia); Blood cancer; Leucocythaemia; Leucocythaemias; Leucocythemia; Leucocythemias",""
