program_name,program_acronym,focus_area,doc,contact_pi,contact_pi_email,contact_nih,contact_nih_email,nofo,award,program_link,data_link,cancer_type,core_project_count,grant_count,total_nci_funding
SPORE in Bladder Cancer,SPORE in Bladder Cancer,SPORE,DCTD,"BAJORIN, DEAN F",,"Arnold, Julia T",jarnold@mail.nih.gov,,P50CA221745,https://trp.cancer.gov/spores/abstracts/mskcc_bladder.htm,,Bladder Cancer,1,5,10900913
SPORE: Targeted Therapies for Glioma,SPORE: Targeted Therapies for Glioma,SPORE,DCTD,"BATCHELOR, TRACY T",,"Hubbard, Leah",leah.hubbard@nih.gov,,P50CA165962,https://trp.cancer.gov/spores/abstracts/brigham_and_women_brain.htm,,Brain Cancer,1,13,21143737
The Memorial Sloan Kettering Cancer Center SPORE in Leukemia,SPORE in Leukemia,SPORE,DCTD,"ABDEL-WAHAB, OMAR ",,"Kuzmin, Igor A",kuzmini@mail.nih.gov,,P50CA254838,https://trp.cancer.gov/spores/abstracts/mskcc_leukemia.htm,,Leukemia,1,3,6158913
The University of Texas MD Anderson Cancer Center SPORE in Hepatocellular Carcinoma,SPORE in Hepatocellular Carcinoma,SPORE,DCTD,"BERETTA, LAURA ",,"Nothwehr, Steven F",steve.nothwehr@nih.gov,,P50CA217674,https://trp.cancer.gov/spores/abstracts/mdanderson_hepatobiliary.htm,,Liver Cancer,1,4,9063325
Brain Tumor SPORE Grant,Brain Tumor SPORE Grant,SPORE,DCTD,"BERGER, MITCHEL S",,"Hubbard, Leah",leah.hubbard@nih.gov,,P50CA097257,,,Brain Cancer,1,26,44541554
Vanderbilt-Ingram Cancer Center SPORE in Gastrointestinal Cancer,SPORE in Gastrointestinal Cancer,SPORE,DCTD,"COFFEY, ROBERT J",,"Nothwehr, Steven F",steve.nothwehr@nih.gov,,P50CA236733,https://trp.cancer.gov/spores/abstracts/vanderbilt_gi.htm,,Gastric Cancer,1,5,11590546
ADMIRAL Study: Admixture analysis of acute lymphoblastic leukemia in African American children,ADMIRAL,"Pediatric/AYA,Health Disparities",DCCPS,Logan Spector Ph.D.,spect012@umn.edu,Danielle L. Daee Ph.D. ,danielle.daee@nih.gov,,R01CA239701,https://maps.cancer.gov/overview/DCCPSGrants/abstract.jsp?applId=9995648&term=CA239701,,Leukemia,1,4,2107456
SPORE in Myeloid Malignancies,SPORE in Myeloid Malignancies,SPORE,DCTD,"EBERT, BENJAMIN LEVINE",,"Kuzmin, Igor A",kuzmini@mail.nih.gov,,P50CA206963,https://trp.cancer.gov/spores/abstracts/brigham_and_women_leukemia.htm,,"Leukemia,Multiple Myeloma",1,6,10644690
Yale SPORE in Lung Cancer (YSILC): The Biology and Personalized Treatment of Lung Cancer,SPORE in Lung Cancer,SPORE,DCTD,"HERBST, ROY S",,"Ujhazy, Peter",ujhazyp@mail.nih.gov,,P50CA196530,https://trp.cancer.gov/spores/abstracts/yale_lung.htm,,Lung Cancer,1,11,20540459
Fred Hutchinson Cancer Research Center Lung SPORE,SPORE in Lung Cancer,SPORE,DCTD,"HOUGHTON, A MCGARRY",,"Ujhazy, Peter",ujhazyp@mail.nih.gov,,P50CA228944,,https://trp.cancer.gov/spores/abstracts/fhcrc_lung.htm,Lung Cancer,1,6,12339863
