Study name,Accession,Primary GPA,DAC,External Data Source,PI,Registration Status��
eMERGE Genome Wide Association Studies - Controls for AAA and Obesity,phs000381.v1.p1,Sharna Tingle,NHGRI,,David Ledbetter,Released
CIDR-GWAS of Breast Cancer in the African Diaspora,phs000383.v2,Emilie Charlisse Caga-Anan,NCI DAC,,Olufunmilayo Olopade,Completed by GPA
Genentech Whole-Genome Sequencing of Four Hepatocellular Carcinoma Patients,phs000384.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Zemin Zhang,Released
Epigenetic Profiling of Human Colorectal Cancer,phs000385.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Peter Laird,Released
eMERGE Genome Wide Association Studies of Abdominal aortic aneurysm (AAA),phs000387.v1.p1,Sharna Tingle,NHGRI,,David Ledbetter,Released
eMERGE Genome Wide Association Studies of Cardiovascular Diseases and T2DM,phs000388.v1.p1,Sharna Tingle,NHGRI,,Erwin Bottinger,Released
Exome Sequencing in Autosomal Recessive Progressive External Ophthalmoplegia,phs000392.v1.p1,Sharna Tingle,NHGRI,,Tadafumi Kato,Released
CIDR_Genetics of Mammographic Density,phs000395.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Elad Ziv,Released
DCEG Imputation Reference Dataset,phs000396.v1.p1,Geoffrey Tobias,NCI DAC,,Stephen Chanock,Released
Next Generation Mendelian Genetics: Malignant Hyperthermia,phs000405.v1.p1,Sharna Tingle,NHGRI,,Jerry Kim,Released
eMERGE Genome Wide Association Studies of obesity,phs000408.v1.p1,Sharna Tingle,NHGRI,,David Ledbetter,Released
St. Jude Children's Research Hospital - Washington University Pediatric Cancer Genome Project(PCGP): Whole Genome Sequencing of Childhood Medulloblastoma,phs000409.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Richard Gilbertson,Released
CIDR: Whole Exome Sequencing for Colorectal Cancer,phs000410.v2,Emilie Charlisse Caga-Anan,NCI DAC,,Ulrike Peters,Completed by GPA
St. Jude Children's Research Hospital - Washington University Pediatric Cancer Genome Project (PCGP): Somatic Mutations in Pediatric AML FAB-M7 Subtype by Whole Transcriptome Sequencing,phs000413.v2.p1,Emilie Charlisse Caga-Anan,NCI DAC,,James Downing,Released
St. Jude Children's Research Hospital - Washington University Pediatric Cancer Genome Project (PCGP): Whole Genome Sequencing of Core Binding Factor Acute Myeloid Leukemia,phs000414.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,James Downing,Released
Temporal Dissection of Tumorigenesis in Primary cancers,phs000418.v2.p1,Ian Fingerman,NCI DAC,,Raymond Cho,Released
A novel recurrent mutation in MITF predisposes to familial and sporadic melanoma,phs000419.v1.p1,Geoffrey Tobias,NCI DAC,,Kevin Brown,Released
Genotype-Tissue Expression (GTEx) Common Fund Project,phs000424.v11.p2,Sharna Tingle,NHGRI,Yes,Kristin Ardlie,Released
Evaluation of next-generation sequence compression strategies for cancer genomes,phs000427.v1.p1,Hora Salehziyabari,NCI DAC,,Stephen Sherry,Incomplete
Next Generation Mendelian Genetics: Atypical Werner syndrome,phs000434.v2.p1,Sharna Tingle,NHGRI,,Junko Oshima,Completed by GPA
Large-Scale CLL Genome Analysis,phs000435.v4.p1,Sharna Tingle,NHGRI,,Catherine Wu,Completed by GPA
Next Generation Mendelian Genetics: Auriculochondylar syndrome (ACS),phs000437.v1.p1,Sharna Tingle,NHGRI,,Michael Cunningham,Released
MPC_Transcriptome sequencing to identify non-coding RNAs in prostate cancer,phs000443.v1.p1,Freddie Pruitt,NCI DAC,,Arul Chinnaiyan,Released
Genome Variation among HIV-Resistant People with Hemophilia,phs000445.v1.p1,Geoffrey Tobias,NCI DAC,,James Goedert,Released
Prostate Cancer Genome Sequencing Project,phs000447.v2.p2,Sharna Tingle,NHGRI,,Eric Lander,Completed by GPA
Molecular Subtypes of Diffuse Large B-cell Lymphoma are Associated with Distinct Pathogenic Mechanisms and Outcomes,phs000450.v6.p1,Ian Fingerman,NCI DAC,,Margaret Shipp,Released
Melanoma Genome Sequencing Project,phs000452.v5.p2,Sharna Tingle,NHGRI,,Levi Garraway,Released
GENEVA Genetic Risk to Stroke in Smokers and Non-Smokers in Multiple Ethnic Groups - Pakistani,phs000456.v1.p1,Sharna Tingle,NHGRI,,Danish Saleheen,Released
TARGET: Acute Lymphoblastic Leukemia (ALL) Phase I Pilot,phs000463.v23.p8,Freddie Pruitt,NCI DAC,,Liming Yang,Released
TARGET: Acute Lymphoblastic Leukemia (ALL) Phase II,phs000464.v23.p8,Freddie Pruitt,NCI DAC,,Liming Yang,Released
TARGET: Acute Myeloid Leukemia (AML),phs000465.v23.p8,Freddie Pruitt,NCI DAC,,Soheil Meshinchi,Released
TARGET: Kidney - Clear Cell Sarcoma of the Kidney (CCSK),phs000466.v23.p8,Freddie Pruitt,NCI DAC,,Liming Yang,Released
TARGET: Neuroblastoma (NBL),phs000467.v23.p8,Freddie Pruitt,NCI DAC,,Liming Yang,Released
TARGET: Osteosarcoma (OS),phs000468.v23.p8,Freddie Pruitt,NCI DAC,,Ching Lau,Released
TARGET: PPTP Cell Lines,phs000469.v23.p8,Freddie Pruitt,NCI DAC,,Liming Yang,Released
TARGET: Kidney - Rhabdoid Tumor (RT),phs000470.v23.p8,Freddie Pruitt,NCI DAC,,Liming Yang,Released
TARGET: Kidney - Wilms Tumor (WT),phs000471.v23.p8,Freddie Pruitt,NCI DAC,,Liming Yang,Released
Estrogen Receptor Positive Breast Cancer Aromatase Inhibitor Response Study,phs000472.v2.p1,Sharna Tingle,NHGRI,,Richard Wilson,Released
Biology and Molecular Analysis of Human Hematopoiesis Genetics,phs000474.v3.p2,Sharna Tingle,NHGRI,,Hanna Gazda,Released
The Molecular Basis of Inherited Reproductive Disorders,phs000475.v1.p1,Sharna Tingle,NHGRI,,William Crowley,Released
Molecular defects in pseudohypoparathyroidism or related disorders,phs000476.v1.p1,Sharna Tingle,NHGRI,,Harald Jueppner,Released
Genetic Defects in familial renal disorders,phs000477.v1.p1,Sharna Tingle,NHGRI,,Harald Jueppner,Released
"Strabismus, CCDD and other anomalies",phs000478.v1.p1,Sharna Tingle,NHGRI,,Elizabeth Engle,Released
CIDR_Exome Sequencing for Breast Cancer Predisposition in Hispanic and Caucasian families,phs000480.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Fergus Couch,Released
Molecular Genetic Analysis of Inherited Kidney Dysfunction,phs000484.v1.p1,Sharna Tingle,NHGRI,,Eric Lander,Released
Gene Mutation and Rescue in Congenital Diaphragmatic Hernia,phs000485.v1.p1,Sharna Tingle,NHGRI,,Patricia Donahoe,Released
Functionally Active Copy Number Variants Associated with Prostate Cancer Risk,phs000487.v2.p1,Natalie Abrams,NCI DAC,,Mark Rubin,Released
Genomic Sequencing of Lung Adenocarcinoma,phs000488.v2.p1,Sharna Tingle,NHGRI,,Eric Lander,Released
eMERGE Pediatric Studies at CHOP,phs000490.v1.p1,Sharna Tingle,NHGRI,,Hakon Hakonarson,Released
Whole-Genome and Exome Sequencing in clear-cell Renal Cell Carcinoma,phs000491.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,James Brugarolas,Released
Genetics of Human Developmental Brain Disorders,phs000492.v4.p3,Sharna Tingle,NHGRI,,Christopher Walsh,Released
Genetic Association Studies in Solomon Islanders,phs000493.v1.p1,Sharna Tingle,NHGRI,,Carlos Bustamante,Released
eMERGE Pediatric Study at CCHMC,phs000494.v1.p1,Sharna Tingle,NHGRI,,John Harley,Released
eMERGE Pediatric Study at CHB,phs000495.v1.p1,Sharna Tingle,NHGRI,,John Harley,Released
Genetic Analysis of Hirschsprung Disease,phs000497.v3.p2,Sharna Tingle,NHGRI,,Eric Lander,Released
Non-invasive whole genome sequencing of a human fetus,phs000500.v1.p1,Sharna Tingle,NHGRI,,Jay Shendure,Released
Genome-wide analysis of Splenic Marginal Zone Lymphoma,phs000502.v1.p1,Freddie Pruitt,NCI DAC,,Laura Pasqualucci,Released
Genomic Sequencing of Medulloblastoma,phs000504.v2.p2,Sharna Tingle,NHGRI,,Eric Lander,Released
RNA sequencing of human glioma stem cells,phs000505.v2.p1,Ian Fingerman,NCI DAC,,Antonio Iavarone,Released
Genomic Sequencing of Pediatric Rhabdoid Cancers,phs000508.v2.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Todd Golub,Released
Genome Sequencing in Hepatocellular Carcinoma,phs000509.v1.p1,Sharna Tingle,NHGRI,,Richard Gibbs,Released
"Treatment of genetic screening of hypertriglyceridemia type I, III, and V",phs000511.v1.p1,Sharna Tingle,NHGRI,,Eric Lander,Released
The Etiology of HDL Cholesterol,phs000512.v1.p1,Sharna Tingle,NHGRI,,Daniel Rader,Released
Rearrangements of the MAST Kinase and Notch Gene Families in Breast Cancer,phs000513.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Arul Chinnaiyan,Released
Familial Coronary Heart Disease,phs000514.v1.p1,Sharna Tingle,NHGRI,,Hagit Baris,Released
Genome Sequencing in Pancreatic Ductal Adenocarcinoma,phs000516.v2.p1,Sharna Tingle,NHGRI,,Richard Gibbs,Released
GWAS of Breast Cancer in the Multiethnic Cohort,phs000517.v3.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Christopher Haiman,Released
CIDR_Melanoma GWAS,phs000519.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Nicholas Hayward,Released
RNA-seq of Hyperdiploid Pediatric Acute Lymphoblastic Leukemia,phs000522.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Patrick Brown,Released
Expressed Pseudogenes in the Translational Landscape of Human Cancers,phs000525.v1.p1,Freddie Pruitt,NCI DAC,,Arul Chinnaiyan,Released
CGCI: Burkitt Lymphoma Genome Sequencing Project,phs000527.v18.p6,Freddie Pruitt,NCI DAC,,Liming Yang,Released
CGCI: HIV+ Tumor Molecular Characterization Project (HTMCP) � Cervical Cancer (CC),phs000528.v18.p6,Freddie Pruitt,NCI DAC,,Liming Yang,Released
CGCI: HIV+ Tumor Molecular Characterization Project (HTMCP) � Diffuse Large B-cell Lymphoma (DLBCL),phs000529.v18.p6,Freddie Pruitt,NCI DAC,,Liming Yang,Released
CGCI: HIV+ Tumor Molecular Characterization Project (HTMCP) � Lung Cancer (LC),phs000530.v18.p6,Freddie Pruitt,NCI DAC,,Liming Yang,Released
CGCI: Medulloblastoma,phs000531.v18.p6,Freddie Pruitt,NCI DAC,,Liming Yang,Released
CGCI: Non-Hodgkin Lymphoma (NHL),phs000532.v18.p6,Freddie Pruitt,NCI DAC,,Liming Yang,Released
DNA Sequencing in Bladder Cancer,phs000535.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,David Solit,Released
Next Generation Mendelian Genetics: Familial Hemophagocytic Lymphohistiocytosis,phs000537.v1.p1,Sharna Tingle,NHGRI,,Helen Su,Released
Next Generation Mendelian Genetics: Familial Combined Hyperlipidemia,phs000538.v1.p1,Sharna Tingle,NHGRI,,Gail Jarvik,Released
Next Generation Mendelian Genetics: Congenital Hyperinsulinism,phs000539.v1.p1,Sharna Tingle,NHGRI,,Lydia Aguilar-Bryan,Released
Next Generation Mendelian Genetics: Ehlers-Danlos syndrome Type VIII,phs000540.v1.p1,Sharna Tingle,NHGRI,,Peter Byers,Released
Next Generation Mendelian Genetics: Muscle Hypertrophy,phs000541.v1.p1,Sharna Tingle,NHGRI,,Fuki Hisama,Released
Next Generation Mendelian Genetics: Neonatal Diabetes,phs000542.v1.p1,Sharna Tingle,NHGRI,,Lydia Aguilar-Bryan,Released
Genomic Sequencing of Pleuropulmonary blastoma,phs000543.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Matthew Meyerson,Released
GARNET GWAS in Breast Cancer Patients from the SUCCESS trial,phs000547.v1.p1,Sharna Tingle,NHGRI,,Richard Weinshilboum,Released
Genome-Wide Characterization of Pancreatic Adenocarcinoma Patients Using Next Generation Sequencing,phs000550.v1.p1,Freddie Pruitt,NCI DAC,,David Craig,Released
Genomic Characterization of Meningiomas,phs000552.v2.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Rameen Beroukhim,Released
Mutational Landscape of Lethal Castrate Resistant Prostate Cancer,phs000554.v1.p1,Freddie Pruitt,NCI DAC,,Arul Chinnaiyan,Released
PAGE: EAGLE: BioVU,phs000559.v2.p2,Sharna Tingle,NHGRI,,Dana Crawford,Completed by GPA
Metabolism and Genetics of Hypobetalipoproteinemia: Population Screen,phs000561.v1.p1,Sharna Tingle,NHGRI,,Nada Abumrad,Released
The Genetic Landscape of Mutations in Burkitt Lymphoma,phs000562.v1.p1,Freddie Pruitt,NCI DAC,,Sandeep Dave,Released
The Genomics of Pilocytic Astrocytoma Formation in Neurofibromatosis type 1,phs000563.v2.p1,Emilie Charlisse Caga-Anan,NCI DAC,,David Gutmann,Released
Identification of recurrent NAB2-STAT6 gene fusions in hemangiopericytoma/solitary fibrous tumor by integrative sequencing,phs000567.v2,Claire Zhu,NCI DAC,,Arul Chinnaiyan,Completed by GPA
Genomic Sequencing of solitary fibrous tumors,phs000568.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Matthew Meyerson,Released
Genetic Heterogeneity of Diffuse Large B-Cell Lymphoma,phs000573.v1.p1,Freddie Pruitt,NCI DAC,,Sandeep Dave,Released
Small Bowel Neuroendocrine Tumors (Carcinoid Tumors),phs000579.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Matthew Meyerson,Released
International Consortium for Blood Pressure GWAS 2011 discovery dataset,phs000585.v2.p1,Hiromi Ono,NHLBI,,Daniel Levy,Released
MPC_ Deep Sequencing Reveals Distinct Pattern of DNA Methylation in Prostate Cancer,phs000597.v1.p1,Freddie Pruitt,NCI DAC,,Arul Chinnaiyan,Released
Esophageal Adenocarcinoma,phs000598.v2.p2,Sharna Tingle,NHGRI,,Adam Bass,Released
Genomic Sequencing of Cervical Cancers,phs000600.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Matthew Meyerson,Released
Identifying the Genetic Explanation for Heritable Breast Cancer,phs000601.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Melissa Southey,Released
Identification of Targetable FGFR Gene Fusions in Diverse Cancers,phs000602.v2.p1,Natalie Abrams,NCI DAC,,Arul Chinnaiyan,Released
CIDR Mapping Genes for Mammographic Breast Density,phs000604.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Julie Douglas,Released
Whole Genome Comparisons of Breast Cancers and Their Xenotransplants,phs000611.v1.p1,Sharna Tingle,NHGRI,,Richard Wilson,Released
Genomic Analysis of Pediatric low-grade gliomas,phs000614.v1.p1,Freddie Pruitt,NCI DAC,,Keith Ligon,Released
Genome wide association studies in ECOG 2997 trial,phs000621.v1.p1,Freddie Pruitt,NCI DAC,,Richard Weinshilboum,Released
Genetic Mapping and Exome Sequencing in Old Order Amish Mennonite Populations,phs000623.v1.p1,Sharna Tingle,NHGRI,,Eric Lander,Released
Targeted Sequencing of GWAS Loci in Cleft Lip and Palate,phs000625.v1.p1,Sharna Tingle,NHGRI,,Richard Wilson,Released
Identification of Driver Genes in Hepatocellular Carcinoma by Exome Sequencing,phs000627.v1.p1,Freddie Pruitt,NCI DAC,,Derek Chiang,Released
Integrative sequencing analysis of a metastatic cervical carcinoma patient reveals human papillomavirus 18 integration,phs000628.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,David Craig,Released
CIDR_GWAS of Familial Lung Cancer,phs000629.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Ann Schwartz,Released
A genome wide study of lung cancer in never smokers,phs000634.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Olga Gorlova,Released
The effect of the menstrual cycle on the normal human breast,phs000644.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Susan Clare,Released
Breakpoint detection using long insert whole genome sequencing,phs000646.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,David Craig,Released
CIDR_NCI_Validation and Fine Scale Mapping of Pancreatic Cancer Susceptibility Loci,phs000648.v2.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Alison Klein,Released
Cohort-based Genome-Wide Association Study of Glioma (GliomaScan),phs000652.v1.p1,Geoffrey Tobias,NCI DAC,,Preetha Rajaraman,Released
Genetics of Inherited Muscle Disease,phs000655.v3.p1,Sharna Tingle,NHGRI,,Daniel Macarthur,Released
A pilot study using next generation sequencing in advanced cancers: feasibility and challenges,phs000657.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Winnie Liang,Released
Germline Sequencing For Aggressive Prostate Carcinoma,phs000661.v2.p1,Sharna Tingle,NHGRI,,Richard Wilson,Completed by GPA
Genomic Variations in a Multi-Ethnic Population in Malaysia,phs000664.v1.p1,Sharna Tingle,NHGRI,,Boon Peng Hoh,Released
CIDR_Epidemiology of Breast Cancer Subtypes in African American Women,phs000669.v2.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Christine Ambrosone,Completed by GPA
Somatic mutations in variant and IGHV4-34 expressing hairy cell leukemia,phs000671.v1.p1,Kathleen Calzone,NCI DAC,,Paul Meltzer,Released
CSER: Exploring Precision Cancer Medicine for Sarcoma and Rare Cancers,phs000673.v6,Emilie Charlisse Caga-Anan,NCI DAC,,Arul Chinnaiyan,Completed by GPA
Sequence-based analysis of human breast tissues,phs000676.v2.p2,Freddie Pruitt,NCI DAC,,Charles Perou,Released
APOBEC Cytidine Deaminase Mutagenesis Pattern is Widespread in Human Cancers,phs000677.v1.p1,Freddie Pruitt,NCI DAC,,Dmitry Gordenin,Released
Genomic Analysis of Peripheral T-Cell Lymphomas,phs000689.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Adolfo Ferrando,Released
Differential Response to Hydroxyurea and Incidence of Stroke in Sickle Cell Disease,phs000691.v2.p1,Sharna Tingle,NHGRI,,Richard Gibbs,Released
Center for Mendelian Genomics [CMG] - University of Washington Center for Mendelian Genomics,phs000693.v7.p3,Sharna Tingle,NHGRI,Yes,Chia-Lin Wei,Released
Clinical Sequencing: Clinical Cancer Sequencing,phs000694.v4.p2,Sharna Tingle,NHGRI,,Levi Garraway,Completed by GPA
Clinical Sequencing: Genome Sequencing of Craniopharyngiomas,phs000696.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Sandro Santagata,Awaiting GPA's Approval
Osteosarcoma Genomics,phs000699.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Todd Golub,Released
RAD50 Hypomorphism and Response to Chemotherapy,phs000706.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,David Solit,Released
Next Generation Mendelian Genetics: Hereditary Neurological Disorders,phs000707.v2.p1,Sharna Tingle,NHGRI,,Wendy Raskind,Released
Detection of a Recurrent DNAJB1-PRKACA Chimeric Transcript in Fibrolamellar Hepatocellular Carcinoma,phs000709.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Sanford Simon,Released
Center for Mendelian Genomics [CMG] - Baylor Hopkins Center for Mendelian Genomics,phs000711.v7.p2,Sharna Tingle,NHGRI,Yes,David Valle,Released
Genome-Wide Association Study of Lung Cancer Among Never Smoking Asian Females,phs000716.v1.p1,Geoffrey Tobias,NCI DAC,,Qing Lan,Released
Whole exome sequencing of circulating tumor cells (CTCs) as a window into metastatic cancer,phs000717.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Todd Golub,Released
