coreproject,pmid,title,authors,publication_date,citation_count,relative_citation_ratio,project_id,project_start_date,day_diff
P50CA092629,10861744,Isolation and characterization of mouse probasin: An androgen-regulated protein specifically expressed in the differentiated prostate.,M A Johnson;I Hernandez;Y Wei;N Greenberg,2000-06-01,41,0.91,P50CA092629,2001-09-14T12:09:00Z,470
P50CA092629,10910968,Genomic instability-based transgenic models of prostate cancer.,C Voelkel-Johnson;D J Voeks;N M Greenberg;R Barrios;F Maggouta;D T Kurtz;D A Schwartz;G M Keller;T Papenbrock;G A Clawson;J S Norris,2000-08-01,20,0.48,P50CA092629,2001-09-14T12:09:00Z,409
P50CA092629,10918582,Caveolin-1 is regulated by c-myc and suppresses c-myc-induced apoptosis.,T L Timme;A Goltsov;S Tahir;L Li;J Wang;C Ren;R N Johnston;T C Thompson,2000-07-06,115,2.14,P50CA092629,2001-09-14T12:09:00Z,435
P50CA092629,10923926,Cytopathic effect of in situ gene therapy in prostate cancer.,G Ayala;T M Wheeler;M Shalev;T C Thompson;B Miles;E Aguilar-Cordova;S Chakraborty;D Kadmon,2000-07-01,32,0.67,P50CA092629,2001-09-14T12:09:00Z,440
P50CA092629,10967136,"The WFDC1 gene encoding ps20 localizes to 16q24, a region of LOH in multiple cancers.",M Larsen;S J Ressler;M J Gerdes;B Lu;M Byron;J B Lawrence;D R Rowley,2000-09-01,29,0.58,P50CA092629,2001-09-14T12:09:00Z,378
R33CA212973,11231557,Large-scale analysis of the yeast proteome by multidimensional protein identification technology.,M P Washburn;D Wolters;J R Yates,2001-03-01,3615,73.03,R33CA212973,2017-03-10T12:03:00Z,5853
R21CA094392,11237705,A Novel mRNA-cDNA interference phenomenon for silencing bcl-2 expression in human LNCaP cells.,S L Lin;C M Chuong;S Y Ying,2001-03-02,25,0.42,R21CA094392,2002-09-01T12:09:00Z,548
R43CA094404,11429448,Selective open-channel block of Shaker (Kv1) potassium channels by s-nitrosodithiothreitol (SNDTT).,M W Brock;C Mathes;W F Gilly,2001-07-01,28,0.55,R43CA094404,2002-07-15T12:07:00Z,379
R33CA083232,11444807,Aptamer beacons for the direct detection of proteins.,N Hamaguchi;A Ellington;M Stanton,2001-07-15,391,8.48,R33CA083232,2003-06-01T12:06:00Z,686
R33CA103455,11457921,Antigen retrieval techniques: current perspectives.,S R Shi;R J Cote;C R Taylor,2001-08-01,264,6.24,R33CA103455,2003-09-01T12:09:00Z,761
U54CA118638,11572412,Lack of adequate attention to elevated blood pressure in an urban hypertensive population.,E O Quaye;E Alema-Mensah;C Omeogu;D Alvarez;F Dwamena;S Harris-Hooker,2001-01-01,2,0.04,U54CA118638,2005-09-30T12:09:00Z,1733
U54CA118638,12088200,Inner-city African American women who failed to receive cancer screening following a culturally-appropriate intervention: the role of health insurance.,John F C Sung;Ernest Alema-Mensah;Daniel S Blumenthal,2002-01-01,28,0.79,U54CA118638,2005-09-30T12:09:00Z,1368
R33CA103455,12133903,"DNA extraction from archival formalin-fixed, paraffin-embedded tissue sections based on the antigen retrieval principle: heating under the influence of pH.",Shan-Rong Shi;Richard J Cote;Lin Wu;Cheng Liu;Ram Datar;Yan Shi;Dongxin Liu;Hyoeun Lim;Clive R Taylor,2002-08-01,183,4.26,R33CA103455,2003-09-01T12:09:00Z,396
U54CA132383,15219164,Essential oncology facts for the float nurse.,Teresa G Leon;Marilyn Pase,2004-06-01,6,0.25,U54CA132383,2007-09-30T12:09:00Z,1216
U54CA118948,15221990,Postsurgical disparity in survival between African Americans and Caucasians with colonic adenocarcinoma.,Dominik Alexander;Chakrapani Chatla;Ellen Funkhouser;Sreelatha Meleth;William E Grizzle;Upender Manne,2004-07-01,46,0.95,U54CA118948,2005-09-23T12:09:00Z,449
U54CA118623,15221990,Postsurgical disparity in survival between African Americans and Caucasians with colonic adenocarcinoma.,Dominik Alexander;Chakrapani Chatla;Ellen Funkhouser;Sreelatha Meleth;William E Grizzle;Upender Manne,2004-07-01,46,0.95,U54CA118623,2005-09-28T12:09:00Z,454
U54CA132383,15234957,"Testing the ""rate of living"" model: further evidence that longevity and metabolic rate are not inversely correlated in Drosophila melanogaster.",Wayne A Van Voorhies;Aziz A Khazaeli;James W Curtsinger,2004-07-02,42,0.95,U54CA132383,2007-09-30T12:09:00Z,1185
U54CA132383,15309633,"Transcription of MyoD and myogenin in the non-contractile electrogenic cells of the weakly electric fish, Sternopygus macrurus.",Jung A Kim;Colleen B Jonsson;Tiffany Calderone;Graciela A Unguez,2004-07-28,16,0.33,U54CA132383,2007-09-30T12:09:00Z,1159
U54CA132383,15379856,Live fast--live long? A commentary on a recent paper by Speakman et al.,Wayne A Van Voorhies,2004-10-01,11,0.23,U54CA132383,2007-09-30T12:09:00Z,1094
U54CA132383,15930003,Backbone nuclear relaxation characteristics and calorimetric investigation of the human Grb7-SH2/erbB2 peptide complex.,Monika Ivancic;Anne M Spuches;Ethan C Guth;Margaret A Daugherty;Dean E Wilcox;Barbara A Lyons,2005-06-01,13,0.3,U54CA132383,2007-09-30T12:09:00Z,851
U54CA132383,15983985,Differences in colorectal carcinoma stage and survival by race and ethnicity.,Chloe Chien;Libby M Morimoto;Jamie Tom;Christopher I Li,2005-08-01,160,3.6,U54CA132383,2007-09-30T12:09:00Z,790
U54CA132378,15994149,Quality of life of long-term survivors of breast cancer and lymphoma treated with standard-dose chemotherapy or local therapy.,Tim A Ahles;Andrew J Saykin;Charlotte T Furstenberg;Bernard Cole;Leila A Mott;Linda Titus-Ernstoff;Karen Skalla;Marie Bakitas;Peter M Silberfarb,2005-07-01,98,2.55,U54CA132378,2008-09-26T12:09:00Z,1183
U54CA137788,15994149,Quality of life of long-term survivors of breast cancer and lymphoma treated with standard-dose chemotherapy or local therapy.,Tim A Ahles;Andrew J Saykin;Charlotte T Furstenberg;Bernard Cole;Leila A Mott;Linda Titus-Ernstoff;Karen Skalla;Marie Bakitas;Peter M Silberfarb,2005-07-01,98,2.55,U54CA137788,2008-09-26T12:09:00Z,1183
U54CA132383,16175185,Clinical characteristics of different histologic types of breast cancer.,C I Li;D J Uribe;J R Daling,2005-10-31,336,7.26,U54CA132383,2007-09-30T12:09:00Z,699
R33CA132073,16189514,Towards a proteome-scale map of the human protein-protein interaction network.,Jean-François Rual;Kavitha Venkatesan;Tong Hao;Tomoko Hirozane-Kishikawa;Amélie Dricot;Ning Li;Gabriel F Berriz;Francis D Gibbons;Matija Dreze;Nono Ayivi-Guedehoussou;Niels Klitgord;Christophe Simon;Mike Boxem;Stuart Milstein;Jennifer Rosenberg;Debra S Goldberg;Lan V Zhang;Sharyl L Wong;Giovanni Franklin;Siming Li;Joanna S Albala;Janghoo Lim;Carlene Fraughton;Estelle Llamosas;Sebiha Cevik;Camille Bex;Philippe Lamesch;Robert S Sikorski;Jean Vandenhaute;Huda Y Zoghbi;Alex Smolyar;Stephanie Bosak;Reynaldo Sequerra;Lynn Doucette-Stamm;Michael E Cusick;David E Hill;Frederick P Roth;Marc Vidal,2005-09-28,2015,37.03,R33CA132073,2008-06-05T12:06:00Z,981
U54CA132383,16248573,Composition and Antimicrobial Activity of Anemopsis californica leaf oil.,Andrea L Medina;Mary E Lucero;F Omar Holguin;Rick E Estell;Jeff J Posakony;Julian Simon;Mary A O'Connell,2005-11-02,21,0.81,U54CA132383,2007-09-30T12:09:00Z,697
U54CA143925,16381544,Breast cancer education for Native American women: creating culturally relevant communications.,Frances Robinson;Nellie Sandoval;Julie Baldwin;Priscilla R Sanderson,2005-12-01,7,0.26,U54CA143925,2009-09-29T12:09:00Z,1398
U54CA143924,16381544,Breast cancer education for Native American women: creating culturally relevant communications.,Frances Robinson;Nellie Sandoval;Julie Baldwin;Priscilla R Sanderson,2005-12-01,7,0.26,U54CA143924,2009-09-01T12:09:00Z,1370
U54CA132383,16470603,Calcium-responsive contractility during fertilization in sea urchin eggs.,Christianna Stack;Amy J Lucero;Charles B Shuster,2006-04-01,10,0.22,U54CA132383,2007-09-30T12:09:00Z,547
U54CA132383,16779822,Distribution of Kv1-like potassium channels in the electromotor and electrosensory systems of the weakly electric fish Apteronotus leptorhynchus.,G Troy Smith;Graciela A Unguez;Christopher M Weber,2006-08-01,10,0.24,U54CA132383,2007-09-30T12:09:00Z,425
U54CA132383,16787133,"Adolescents' smoking behaviors, beliefs on the risks of smoking, and exposure to ETS in Juárez, Mexico.",Yelena Bird;John Moraros;Larry K Olsen;Gloria D Coronado;Beti Thompson,2006-01-01,8,0.29,U54CA132383,2007-09-30T12:09:00Z,637
U54CA132383,16790333,Do longevity mutants always show trade-offs?,Wayne A Van Voorhies;James W Curtsinger;Michael R Rose,2006-06-21,30,0.64,U54CA132383,2007-09-30T12:09:00Z,466
U54CA132383,16837551,"A global, myosin light chain kinase-dependent increase in myosin II contractility accompanies the metaphase-anaphase transition in sea urchin eggs.",Amy Lucero;Christianna Stack;Anne R Bresnick;Charles B Shuster,2006-07-12,30,0.59,U54CA132383,2007-09-30T12:09:00Z,445
R21CA126720,16990815,State-based discovery: a multidimensional screen for small-molecule modulators of EGF signaling.,Mark Sevecka;Gavin MacBeath,2006-10-01,76,1.42,R21CA126720,2008-05-01T12:05:00Z,578
U54CA132378,17674194,Cognitive function in breast cancer patients prior to adjuvant treatment.,Tim A Ahles;Andrew J Saykin;Brenna C McDonald;Charlotte T Furstenberg;Bernard F Cole;Brett S Hanscom;Tamsin J Mulrooney;Gary N Schwartz;Peter A Kaufman,2007-08-03,252,6.84,U54CA132378,2008-09-26T12:09:00Z,420
U54CA137788,17674194,Cognitive function in breast cancer patients prior to adjuvant treatment.,Tim A Ahles;Andrew J Saykin;Brenna C McDonald;Charlotte T Furstenberg;Bernard F Cole;Brett S Hanscom;Tamsin J Mulrooney;Gary N Schwartz;Peter A Kaufman,2007-08-03,252,6.84,U54CA137788,2008-09-26T12:09:00Z,420
U54CA132383,17682244,Attitudes and beliefs about colorectal cancer among Mexican Americans in communities along the US-Mexico border.,Gloria D Coronado;Argelia Farias;Beti Thompson;Ruby Godina;Wendell Oderkirk,2006-01-01,25,0.73,U54CA132383,2007-09-30T12:09:00Z,637
R21CA137706,18076201,"Smart hydrogel particles: biomarker harvesting: one-step affinity purification, size exclusion, and protection against degradation.",Alessandra Luchini;David H Geho;Barney Bishop;Duy Tran;Cassandra Xia;Robert L Dufour;Clinton D Jones;Virginia Espina;Alexis Patanarut;Weidong Zhou;Mark M Ross;Alessandra Tessitore;Emanuel F Petricoin;Lance A Liotta,2007-12-13,129,3.37,R21CA137706,2009-06-01T12:06:00Z,536
R33CA137719,18222979,Engineering redox-sensitive linkers for genetically encoded FRET-based biosensors.,Vladimir L Kolossov;Bryan Q Spring;Anna Sokolowski;John E Conour;Robert M Clegg;Paul J A Kenis;H Rex Gaskins,2008-02-01,50,1.08,R33CA137719,2010-09-01T12:09:00Z,943
U10CA180821,18314912,Applying a conceptual model for examining health-related quality of life in long-term breast cancer survivors: CALGB study 79804.,Electra D Paskett;James E Herndon;Jeannette M Day;Nancy N Stark;Eric P Winer;Stephen S Grubbs;Michael D Pavy;Charles L Shapiro;Marcy A List;Martee L Hensley;Michelle A Naughton;Alice B Kornblith;Karleen R Habin;Gini F Fleming;Marisa A Bittoni;Cancer and Leukemia Group B,2008-11-01,27,0.84,U10CA180821,2014-04-17T12:04:00Z,1993
P50CA136393,18334709,Association between cyclooxygenase-2 expression in atypical hyperplasia and risk of breast cancer.,Daniel W Visscher;V Shane Pankratz;Marta Santisteban;Carol Reynolds;Ari Ristimäki;Robert A Vierkant;Wilma L Lingle;Marlene H Frost;Lynn C Hartmann,2008-03-11,44,1.01,P50CA136393,2009-09-01T12:09:00Z,539
P50CA136393,18450052,Linear mixed effects models.,Ann L Oberg;Douglas W Mahoney,2007-01-01,71,1.79,P50CA136393,2009-09-01T12:09:00Z,974
U10CA180821,18509177,Racial differences in clinical outcomes from metastatic breast cancer: a pooled analysis of CALGB 9342 and 9840--Cancer and Leukemia Group B.,Blase N Polite;Constance Cirrincione;Gini F Fleming;Donald A Berry;Andrew Seidman;Hyman Muss;Larry Norton;Charles Shapiro;Kamal Bakri;Kelly Marcom;Diana Lake;Joel H Schwartz;Clifford Hudis;Eric P Winer,2008-06-01,28,0.62,U10CA180821,2014-04-17T12:04:00Z,2146
U54CA143924,18515848,Occupational PAH exposures during prescribed pile burns.,M S Robinson;T R Anthony;S R Littau;P Herckes;X Nelson;G S Poplin;J L Burgess,2008-05-31,32,1.25,U54CA143924,2009-09-01T12:09:00Z,458
U10CA180821,18536022,Exercise and dietary change after diagnosis and cancer-related symptoms in long-term survivors of breast cancer: CALGB 79804.,Catherine M Alfano;Jeannette M Day;Mira L Katz;James E Herndon;Marisa A Bittoni;Jill M Oliveri;Kathleen Donohue;Electra D Paskett,2009-02-01,92,2.62,U10CA180821,2014-04-17T12:04:00Z,1901
R21CA125461,18568024,Genomic surveys by methylation-sensitive SNP analysis identify sequence-dependent allele-specific DNA methylation.,Kristi Kerkel;Alexandra Spadola;Eric Yuan;Jolanta Kosek;Le Jiang;Eldad Hod;Kerry Li;Vundavalli V Murty;Nicole Schupf;Eric Vilain;Mitzi Morris;Fatemeh Haghighi;Benjamin Tycko,2008-06-22,344,6.66,R21CA125461,2009-08-01T12:08:00Z,405
R33CA143531,18568347,Identification of novel tumor antigens with patient-derived immune-selected antibodies.,Daniel Rodriguez-Pinto;Jason Sparkowski;Martin P Keough;Kathryn N Phoenix;Frank Vumbaca;David K Han;Eckart D Gundelfinger;Philip Beesley;Kevin P Claffey,2008-06-21,22,0.51,R33CA143531,2010-09-16T12:09:00Z,817
R33CA157403,18606634,National Academy of Clinical Biochemistry Laboratory Medicine Practice Guidelines for use of tumor markers in clinical practice: quality requirements.,Catharine M Sturgeon;Barry R Hoffman;Daniel W Chan;Soo-Ling Ch'ng;Elizabeth Hammond;Daniel F Hayes;Lance A Liotta;Emmanuel F Petricoin;Manfred Schmitt;O John Semmes;Györg Söletormos;Elena van der Merwe;Eleftherios P Diamandis;National Academy of Clinical Biochemistry,2008-07-07,106,2.47,R33CA157403,2011-08-15T12:08:00Z,1134
R33CA173359,18606634,National Academy of Clinical Biochemistry Laboratory Medicine Practice Guidelines for use of tumor markers in clinical practice: quality requirements.,Catharine M Sturgeon;Barry R Hoffman;Daniel W Chan;Soo-Ling Ch'ng;Elizabeth Hammond;Daniel F Hayes;Lance A Liotta;Emmanuel F Petricoin;Manfred Schmitt;O John Semmes;Györg Söletormos;Elena van der Merwe;Eleftherios P Diamandis;National Academy of Clinical Biochemistry,2008-07-07,106,2.47,R33CA173359,2012-09-20T12:09:00Z,1536
R21CA143282,18784188,Epitope tagging of endogenous genes in diverse human cell lines.,Jung-Sik Kim;Challice Bonifant;Fred Bunz;William S Lane;Todd Waldman,2008-09-10,30,0.44,R21CA143282,2010-03-15T12:03:00Z,551
U10CA180821,18792786,Arm/hand swelling and perceived functioning among breast cancer survivors 12 years post-diagnosis: CALGB 79804.,Jill M Oliveri;Jeannette M Day;Catherine M Alfano;James E Herndon;Mira L Katz;Marisa A Bittoni;Kathleen Donohue;Electra D Paskett,2008-09-16,28,0.79,U10CA180821,2014-04-17T12:04:00Z,2039
U10CA180821,19133656,Cancer surveillance behaviors and psychosocial factors among long-term survivors of breast cancer. Cancer and Leukemia Group B 79804.,Mira L Katz;Kathleen A Donohue;Catherine M Alfano;Jeannette M Day;James E Herndon;Electra D Paskett,2009-02-01,22,0.56,U10CA180821,2014-04-17T12:04:00Z,1901
U10CA180821,19142669,Use of a lidocaine patch in the management of postsurgical neuropathic pain in patients with cancer: a phase III double-blind crossover study (N01CB).,Andrea L Cheville;Jeff A Sloan;Donald W Northfelt;Anand P Jillella;Gilbert Y Wong;James D Bearden Iii;Heshan Liu;Paul L Schaefer;Benjamin T Marchello;Bradley J Christensen;Charles L Loprinzi,2009-01-13,42,1.48,U10CA180821,2014-04-17T12:04:00Z,1920
R33CA186790,19244323,Protein array identification of substrates of the Epstein-Barr virus protein kinase BGLF4.,Jian Zhu;Gangling Liao;Liang Shan;Jun Zhang;Mei-Ru Chen;Gary S Hayward;S Diane Hayward;Prashant Desai;Heng Zhu,2009-02-25,61,1.33,R33CA186790,2015-05-01T12:05:00Z,2256
R21CA151159,19847834,Three-dimensional nanostructured substrates toward efficient capture of circulating tumor cells.,Shutao Wang;Hao Wang;Jing Jiao;Kuan-Ju Chen;Gwen E Owens;Ken-ichiro Kamei;Jing Sun;David J Sherman;Christian P Behrenbruch;Hong Wu;Hsian-Rong Tseng,2009-01-01,336,8.29,R21CA151159,2010-09-01T12:09:00Z,608
U54CA163072,19887359,Delay in diagnostic testing after abnormal mammography in low-income women.,Debra Wujcik;Yu Shyr;Ming Li;Margaret F Clayton;Lee Ellington;Usha Menon;Kathi Mooney,2009-11-01,25,0.76,U54CA163072,2011-09-21T12:09:00Z,689
U24CA204863,19898898,Obesity and angiolymphatic invasion in primary breast cancer.,Erin F Gillespie;Melony E Sorbero;David A Hanauer;Michael S Sabel;Emily J Herrmann;Laura J Weiser;Christina H Jagielski;Jennifer J Griggs,2009-11-07,32,0.77,U24CA204863,2017-08-17T12:08:00Z,2840
U10CA180821,20126980,"Older versus younger patients with metastatic adenocarcinoma of the esophagus, gastroesophageal junction, and stomach: a pooled analysis of eight consecutive North Central Cancer Treatment Group (NCCTG) trials.",Aminah Jatoi;Nathan R Foster;James R Egner;Patrick A Burch;Philip J Stella;Joseph Rubin;Shaker R Dakhil;Daniel J Sargent;Brian R Murphy;Steven R Alberts,2010-03-01,30,0.74,U10CA180821,2014-04-17T12:04:00Z,1508
U54CA163069,20173279,Meharry Medical College-Vanderbilt-Ingram Cancer Center partnership: its history and role in cancer health disparities research.,Samuel Evans Adunyah;Bettina M Beech;Harold L Moses,2010-02-01,2,0.04,U54CA163069,2011-09-26T12:09:00Z,602
R33CA173359,20196732,Nanoparticle technology: addressing the fundamental roadblocks to protein biomarker discovery.,A Luchini;C Fredolini;B H Espina;F Meani;A Reeder;S Rucker;E F Petricoin;L A Liotta,2010-03-01,32,1.0,R33CA173359,2012-09-20T12:09:00Z,934
R33CA157403,20355230,Nanoparticle technology: amplifying the effective sensitivity of biomarker detection to create a urine test for hGH.,Claudia Fredolini;Davide Tamburro;Guido Gambara;Benjamin S Lepene;Virginia Espina;Emanuel F Petricoin;Lance A Liotta;Alessandra Luchini,2009-09-01,21,0.68,R33CA157403,2011-08-15T12:08:00Z,713
R33CA182384,20383402,Assessment of mitochondrial membrane potential using an on-chip microelectrode in a microfluidic device.,Tae-Sun Lim;Antonio Dávila;Douglas C Wallace;Peter Burke,2010-04-12,14,0.34,R33CA182384,2015-02-01T12:02:00Z,1756
U10CA180821,20521348,Prognostic significance of mucin and p53 expression in stage IB non-small cell lung cancer: a laboratory companion study to CALGB 9633.,Stephen L Graziano;Lin Gu;Xiaofei Wang;Arthur H Tatum;Robin T Vollmer;Gary M Strauss;Robert Kratzke;Arkadiusz Z Dudek;Everett E Vokes;Mark R Green;Cancer and Leukemia Group B;North Central Cancer Treatment Group;Radiation Therapy Oncology Group,2010-06-01,21,0.45,U10CA180821,2014-04-17T12:04:00Z,1416
R33CA147988,20590124,Interplay of permanent charge and hydrophobicity in the electrospray ionization of glycans.,S Hunter Walker;Brian N Papas;Daniel L Comins;David C Muddiman,2010-08-01,48,1.66,R33CA147988,2011-09-01T12:09:00Z,396
P50CA180995,20590552,Number of prostate cancer risk alleles may identify possibly 'insignificant' disease.,Brian T Helfand;Stacy Loeb;Donghui Kan;William J Catalona,2010-12-01,10,0.24,P50CA180995,2015-08-18T12:08:00Z,1721
U54CA163059,20637198,Affinity peptide for targeted detection of dysplasia in Barrett's esophagus.,Meng Li;Constantinos P Anastassiades;Bishnu Joshi;Chris M Komarck;Cyrus Piraka;Badih J Elmunzer;Danielle K Turgeon;Timothy D Johnson;Henry Appelman;David G Beer;Thomas D Wang,2010-07-14,67,1.91,U54CA163059,2011-09-21T12:09:00Z,434
U54CA163069,20656046,The role of cytotoxic therapy with hematopoietic stem cell transplantation in the treatment of diffuse large B cell lymphoma: update of the 2001 evidence-based review.,Denise M Oliansky;Myron Czuczman;Richard I Fisher;Frank D Irwin;Hillard M Lazarus;James Omel;Julie Vose;Steven N Wolff;Roy B Jones;Philip L McCarthy;Theresa Hahn,2010-07-23,72,1.91,U54CA163069,2011-09-26T12:09:00Z,430
U54CA163072,20703939,Soy intake in association with menopausal symptoms during the first 6 and 36 months after breast cancer diagnosis.,Tsogzolmaa Dorjgochoo;Kai Gu;Ying Zheng;Asha Kallianpur;Zhi Chen;Wei Zheng;Wei Lu;Xiao Ou Shu,2010-08-12,10,0.42,U54CA163072,2011-09-21T12:09:00Z,405
U54CA163072,20725776,MMP9 polymorphisms and breast cancer risk: a report from the Shanghai Breast Cancer Genetics Study.,Alicia Beeghly-Fadiel;Wei Lu;Xiao-Ou Shu;Jirong Long;Qiuyin Cai;Yongbin Xiang;Yu-Tang Gao;Wei Zheng,2010-08-20,20,0.55,U54CA163072,2011-09-21T12:09:00Z,397
U10CA180821,20871263,Phase II study of the histone deacetylase inhibitor Romidepsin in relapsed small cell lung cancer (Cancer and Leukemia Group B 30304).,Gregory A Otterson;Lydia Hodgson;Herbert Pang;Everett E Vokes;Cancer and Leukemia Group B,2010-10-01,53,1.13,U10CA180821,2014-04-17T12:04:00Z,1294
R33CA157403,20871745,Tissue is alive: New technologies are needed to address the problems of protein biomarker pre-analytical variability.,Virginia Espina;Claudius Mueller;Kirsten Edmiston;Manuela Sciro;Emanuel F Petricoin;Lance A Liotta,2009-08-01,71,1.82,R33CA157403,2011-08-15T12:08:00Z,744
R33CA173359,20871782,Synthesis and characterization of hydrogel particles containing Cibacron Blue F3G-A.,Alexis Patanarut;Alessandra Luchini;Palma J Botterell;Anirudh Mohan;Caterina Longo;Paul Vorster;Emanuel F Petricoin;Lance A Liotta;Barney Bishop,2010-06-01,12,0.37,R33CA173359,2012-09-20T12:09:00Z,842
U10CA180821,20975604,"Phase II study of preoperative pemetrexed, carboplatin, and radiation followed by surgery for locally advanced esophageal cancer and gastroesophageal junction tumors.",Aminah Jatoi;Gamini Soori;Nathan R Foster;Bradley K Hiatt;James A Knost;Tom R Fitch;Matthew D Callister;Francis C Nichols;Tim M Husted;Steven R Alberts,2010-12-01,17,0.45,U10CA180821,2014-04-17T12:04:00Z,1233
R33CA173359,21035184,The use of hydrogel microparticles to sequester and concentrate bacterial antigens in a urine test for Lyme disease.,Temple A Douglas;Davide Tamburro;Claudia Fredolini;Benjamin H Espina;Benjamin S Lepene;Leopold Ilag;Virginia Espina;Emanuel F Petricoin;Lance A Liotta;Alessandra Luchini,2010-10-28,34,1.24,R33CA173359,2012-09-20T12:09:00Z,693
R33CA173359,21137027,Mass spectrometry-based characterization of the vitreous phosphoproteome.,Davide Tamburro;Francesco Facchiano;Emanuel F Petricoin;Lance A Liotta;Weidong Zhou,2010-10-04,6,0.2,R33CA173359,2012-09-20T12:09:00Z,717
U10CA180821,21153680,Transformation of low grade glioma and correlation with outcome: an NCCTG database analysis.,K A Jaeckle;P A Decker;K V Ballman;P J Flynn;C Giannini;B W Scheithauer;R B Jenkins;J C Buckner,2010-12-12,55,1.51,U10CA180821,2014-04-17T12:04:00Z,1222
R33CA173359,21158936,A novel biomarker harvesting nanotechnology identifies Bak as a candidate melanoma biomarker in serum.,Caterina Longo;Guido Gambara;Virginia Espina;Alessandra Luchini;Barney Bishop;Alexis S Patanarut;Emanuel F Petricoin;Francesca Beretti;Barbara Ferrari;Enrico Garaci;Anto De Pol;Giovanni Pellacani;Lance A Liotta,2011-01-01,35,1.06,R33CA173359,2012-09-20T12:09:00Z,628
