type	dataset_uuid	dataset_source_repo	dataset_title	description	dataset_source_id	dataset_source_url	PI_name	GPA	dataset_doc	dataset_pmid	funding_source	release_date	limitations_for_reuse	assay_method	study_type	primary_disease	participant_count	sample_count	study_links	related_genes	related_diseases	related_terms	dataset_year_enrollment_started	dataset_year_enrollment_ended	dataset_minimum_age_at_baseline	dataset_maximum_age_at_baseline
dataset	2e87e0dc-844a-4d75-9331-9db0c771f205	CEDCD	Alpha-Tocopherol Beta-Carotene Cancer Prevention Study	"The Alpha-Tocopherol, Beta-Carotene Cancer Prevention (ATBC) Study was conducted in Finland as a joint project between the National Public Health Institute of Finland and the NCI. The overall design, rationale, objectives, and initial results of this intervention study have been published (Ann Epidemiol 1994 Jan;4(1):1-10). Briefly, this was a randomized, double-blind, placebo-controlled, primary prevention trial to determine whether daily supplementation with alpha-tocopherol, beta-carotene, or both would reduce the incidence of lung or other cancers among male smokers.  A total of 29,133 men between the ages of 50 and 69 years, who smoked at least five cigarettes per day, were recruited from southwestern Finland between 1985 and 1988, and randomly assigned to one of four groups based on a 2x2 factorial design. Men who had prior cancer or serious illness or who reported current use of vitamins E (>20 mg/day), A (>20,000 IU/day), or beta-carotene (>6 mg/day) were ineligible. Participants received either alpha-tocopherol (50 mg/day) as dl-alpha-tocopheryl acetate, beta-carotene (20 mg/day) as all-trans-beta-carotene, both supplements, or placebo capsules for 5 to 8 years (median 6.1 years) until death or trial closure (April 30, 1993).  The study was approved by the institutional review boards of the NCI and the National Public Health Institute of Finland, and written informed consent was obtained from each participant before randomization. Post-intervention follow-up has continued through the Finnish Cancer Registry with cancer data available through 2012 and mortality data through 2013. Analyses based on biospecimens and questionnaire data collected during the parent study are ongoing and focus on the roles of micronutrients, diet, energy balance and growth factors, genetic variants, and other factors in prostate, lung, pancreatic, colorectal, kidney, bladder, upper gastrointestinal, lymphatic, and other cancers."	163	https://cedcd.nci.nih.gov/cohort?id=163	Demetrius Albanes		Cancer Epidemiology Descriptive Cohort Database (CEDCD)						Etiology	Multiple Cancer Types	29133		http://atbcstudy.cancer.gov/		"All Other Cancers, Bladder, Bone, Brain, Cervix (Squamous cell carcinoma, Adenocarcinoma), Colon, Corpus, body of uterus, Esophagus, Gall bladder and extrahepatic bile ducts, Hodgkin Lymphoma, Invasive Breast Cancer, Kidney and other unspecified urinary organs, Leukemia, Liver and intrahepatic bile ducts, Lung and bronchus, Melanoma (excluding mucosal sites), Myeloma, Non-Hodgkin Lymphoma, Oropharyngeal, Ovary, fallopian tube, broad ligament, Pancreas, Prostate, Rectum and anus, Small intestine, Stomach, Thyroid"	"Buffy Coat and/or Lymphocytes, Feces, Saliva and/or Buccal, Serum and/or Plasma, Tumor Tissue FFPE, Tumor Tissue Fresh/Frozen, Urine"	1985	1988	50	69
dataset	4e995244-9245-45ce-8b6e-279f210df537	CEDCD	California Teachers Study	"The California Teachers Study (CTS) began in 1995, when 133,477 female public school teachers & administrators completed a mailed questionnaire and agreed to participate in this prospective cohort. The overall goal of the CTS is to generate new knowledge about breast cancer, other cancers, and women's health that can lead to better prevention and improved health outcomes.  CTS participants have been followed continuously since 1995. Most live in California. Annual linkages with California's Cancer Registry, hospitalization data, and mortality data have generated extensive and detailed cancer and other endpoints. Over 26,000 participants have been diagnosed with over 31,000 cancers during follow-up. Detailed diagnosis and procedure data are available for over 109,000 participants who have had over 690,000 hospitalization visits during follow-up. Date and cause of death are available for the over 34,000 participants who have died. Five follow-up surveys provide new and updated exposure and lifestyle information. Biospecimens collected in a number of projects during follow-up have generated a biobank of 35,166 samples (primarily blood & saliva) from 32,504 participants. The CTS also includes growing environmental/geospatial data. All of these data are available to any researcher. Our website, www.calteachersstudy.org, includes the most up-to-date data, visualizations, and information about how to explore and analyze CTS data and resources for research."	162	https://cedcd.nci.nih.gov/cohort?id=162	"Elena Martinez, Jim Lacey"		Cancer Epidemiology Descriptive Cohort Database (CEDCD)						Etiology	Multiple Cancer Types	133477		http://www.calteachersstudy.org/		"All Other Cancers, Bladder, Bone, Brain, Cervical carcinoma in situ (CIN II/III, CIS, AIS), Cervix (Squamous cell carcinoma, Adenocarcinoma), Colon, Corpus, body of uterus, Ductal carcinoma in situ of breast, Esophagus, Gall bladder and extrahepatic bile ducts, Hodgkin Lymphoma, Invasive Breast Cancer, Kidney and other unspecified urinary organs, Leukemia, Liver and intrahepatic bile ducts, Lung and bronchus, Melanoma (excluding mucosal sites), Myeloma, No Cancer, Non-Hodgkin Lymphoma, Oropharyngeal, Ovary, fallopian tube, broad ligament, Pancreas, Prostate, Rectum and anus, Small intestine, Stomach, Thyroid"	"Buffy Coat and/or Lymphocytes, Feces, Saliva and/or Buccal, Serum and/or Plasma, Tumor Tissue FFPE, Tumor Tissue Fresh/Frozen, Urine"	1995	1996	22	104
dataset	5f1a1942-5fe6-4029-8759-93459f56d511	CEDCD	European Prospective Investigation in Cancer and Nutrition	"The European Prospective Investigation into Cancer and Nutrition (EPIC) is a longitudinal cohort that was established between1992-1999 and enrolled more than 521,000 study participants aged 30-75 from 23 centres in Denmark, France, Germany, Greece, Italy, Netherlands, Norway, Spain, Sweden and the United Kingdom. EPIC was established primarily to investigate the role of nutrition in cancer development and the multi-country design was intended to capture variation in diet and lifestyle habits across Western European countries. Detailed information on diet, lifestyle characteristics, anthropometric measurements, and reproductive and medical history was collected at recruitment. Lifestyle exposures were re-assessed during follow-up in most participating centres, on average 7 years after baseline. Biological samples including plasma, serum, leukocytes, and erythrocytes were also collected at baseline from 387,889 individuals and are stored at the International Agency for Research on Cancer/World Health Organization (IARC-WHO) and mirrored at EPIC collaborating centres. EPIC is jointly coordinated by Imperial College London (Professors Elio Riboli and Marc Gunter) and IARC (Drs Pietro Ferrari and Paul Brennan) and is governed by a steering committee comprising representatives from each EPIC centre. Follow-up of study participants is coordinated by the individual EPIC centres through cancer registry linkage or active follow-up and data is centralized at IARC. Since recruitment, approximately 62,000 EPIC participants have been diagnosed with cancer including 16,000 breast cancers, 6,500 colorectal cancers, 5,000 lung cancers, 1,500 pancreatic cancers and 500 liver cancers. As a consortium EPIC has produced more than 3,000 scientific articles with numerous additional publications originating from the individual participating EPIC cohorts. Notable sub-studies within EPIC include EPIC-Interact and EPIC-CVD, case-cohort studies to investigate the etiology of type 2 diabetes and cardiovascular disease, respectively; EPIC-PANACEA, a study of the causes of weight gain and obesity, and NeuroEPIC4PD which has a focus on Parkinson's and neurodegenerative diseases."	161	https://cedcd.nci.nih.gov/cohort?id=161	"Elio Riboli, Marc Gunter, Paul Brennan, Pietro Ferrari"		Cancer Epidemiology Descriptive Cohort Database (CEDCD)						Etiology	Multiple Cancer Types	521323		https://epic.iarc.who.int/		"All Other Cancers, Bladder, Bone, Brain, Cervix (Squamous cell carcinoma, Adenocarcinoma), Colon, Corpus, body of uterus, Esophagus, Gall bladder and extrahepatic bile ducts, Hodgkin Lymphoma, Invasive Breast Cancer, Kidney and other unspecified urinary organs, Leukemia, Liver and intrahepatic bile ducts, Lung and bronchus, Melanoma (excluding mucosal sites), Myeloma, Non-Hodgkin Lymphoma, Oropharyngeal, Ovary, fallopian tube, broad ligament, Pancreas, Prostate, Rectum and anus, Small intestine, Stomach, Thyroid"	"Buffy Coat and/or Lymphocytes, Feces, Saliva and/or Buccal, Serum and/or Plasma, Tumor Tissue FFPE, Tumor Tissue Fresh/Frozen, Urine"	1992	1999	30	75
dataset	03541044-7536-4eeb-8a1e-e6a9a3055592	CEDCD	Women's Health Initiative Cancer Survivor Cohort	"The WHI Cancer Survivor Cohort, branded as the Life and Longevity After Cancer (LILAC) Study, was funded by the National Cancer Institute with study goals of enrolling WHI participants who have been diagnosed with cancers of the breast, lung, colorectum, ovary, and endometrium, as well as melanoma, leukemia and non-Hodgkin's lymphoma into a cancer survivorship cohort and examining factors that may affect longevity and well-being among women who have been diagnosed with cancer. To accomplish these goals, the study has enrolled WHI participants with one or more of these cancer diagnoses and collected additional information on cancer treatment and outcomes through a baseline and annual follow-up questionnaires about health conditions and well-being. The investigators have developed a biorepository of FFPE tumor tissue from both living LILAC participants and deceased WHI participants, and are obtaining  cancer treatment and recurrence data from both medical records and administrative data sources such as Medicare and HMOs. Examples of how these data may be used by future investigators include research into:      - The effect of pre and post-diagnostic risk factors on cancer outcomes by molecular subtype.     - The prognostic value of tissue-based biomarkers on cancer survival, and blood and tissue-based biomarkers on cancer recurrence.     - The relationship between treatment and comorbidities, treatment complications, functional status, cancer prognosis, second cancers and the development of new comorbid conditions compared to similar women without cancer.     - Health services resource utilization, health related quality of life, cost and cost-effectiveness as they relate to cancer diagnosis, treatment, and outcomes.     - The influence of pre-diagnostic social, physical, and clinical factors on incidence of molecularly defined cancer subtypes."	159	https://cedcd.nci.nih.gov/cohort?id=159	"Electra Paskett, Garnet Anderson"		Cancer Epidemiology Descriptive Cohort Database (CEDCD)						Survivor	Multiple Cancer Types	17140		http://sp.whi.org/studies/LILAC/Pages/Home.aspx		"All Other Cancers, Bladder, Bone, Brain, Cervix (Squamous cell carcinoma, Adenocarcinoma), Colon, Corpus, body of uterus, Esophagus, Gall bladder and extrahepatic bile ducts, Hodgkin Lymphoma, Invasive Breast Cancer, Kidney and other unspecified urinary organs, Leukemia, Liver and intrahepatic bile ducts, Lung and bronchus, Melanoma (excluding mucosal sites), Myeloma, Non-Hodgkin Lymphoma, Oropharyngeal, Ovary, fallopian tube, broad ligament, Pancreas, Prostate, Rectum and anus, Small intestine, Stomach, Thyroid"	"Buffy Coat and/or Lymphocytes, Feces, Saliva and/or Buccal, Serum and/or Plasma, Tumor Tissue FFPE, Tumor Tissue Fresh/Frozen, Urine"	2013	2023	65	100
dataset	de1cc161-4482-4575-9203-ff4fef7d7f29	CEDCD	Women's Health Initiative	"The Women's Health Initiative (WHI) is a long-term national health study that launched in 1993. The study focused on strategies for preventing heart disease, breast and colorectal cancer, and osteoporotic fractures in postmenopausal women. These chronic diseases are the major causes of death, disability, and frailty in older women of all races and socioeconomic backgrounds.  This multi-million dollar project, sponsored by the National Institutes of Health (NIH), NHLBI, involves 161,808 women aged 50 to 79, and is one of the most definitive, far-reaching clinical trials of postmenopausal women's health ever undertaken in the United States. The WHI Clinical Trial and Observational Study focused on many of the inequities in women's health research and will continue to provide practical information to women and their physicians about hormone therapy, dietary patterns, calcium/vitamin D supplementation, and their effects on the prevention of heart disease, cancer, and osteoporotic fractures.  The WHI has two major parts: a randomized Clinical Trial (CT) and an Observational Study (OS). The randomized controlled CT enrolled 68,132 postmenopausal women between the ages of 50 and 79 into trials testing three prevention strategies. If eligible, women could choose to enroll in one, two, or all three of the trial components. The components are:    -Hormone Therapy Trials (HT): This component examined the effects of combined hormones or estrogen alone on the prevention of coronary heart disease and osteoporotic fractures, and associated risk for breast cancer. Women participating in this component took hormone pills or a placebo (inactive pill) until the Estrogen plus Progestin and Estrogen Alone trials were stopped early in July 2002 and March 2004, respectively. All HT participants continued to be followed without intervention until close-out.   -Dietary Modification Trial (DM): The Dietary Modification component evaluated the effect of a low-fat and high fruit, vegetable, and grain diet on the prevention of breast and colorectal cancers and coronary heart disease. Study participants followed either their usual eating pattern or a low-fat dietary pattern.   -Calcium/Vitamin D Trial (CaD): This component began 1 to 2 years after a woman joined one or both of the other clinical trial components. It evaluated the effect of calcium and vitamin D supplementation on the prevention of osteoporotic fractures and colorectal cancer. Women in this component took calcium and vitamin D pills or a placebo."	158	https://cedcd.nci.nih.gov/cohort?id=158	"Garnet Anderson, Jean Wactawski-Wende, Mara Vitolins, Marcia Stefanick, Rebecca Jackson"		Cancer Epidemiology Descriptive Cohort Database (CEDCD)						Etiology	Multiple Cancer Types	161808		http://www.whi.org		"All Other Cancers, Bladder, Bone, Brain, Cervical carcinoma in situ (CIN II/III, CIS, AIS), Cervix (Squamous cell carcinoma, Adenocarcinoma), Colon, Corpus, body of uterus, Ductal carcinoma in situ of breast, Esophagus, Gall bladder and extrahepatic bile ducts, Hodgkin Lymphoma, Invasive Breast Cancer, Kidney and other unspecified urinary organs, Leukemia, Liver and intrahepatic bile ducts, Lung and bronchus, Melanoma (excluding mucosal sites), Myeloma, Non-Hodgkin Lymphoma, Oropharyngeal, Ovary, fallopian tube, broad ligament, Pancreas, Prostate, Rectum and anus, Small intestine, Stomach, Thyroid"	"Buffy Coat and/or Lymphocytes, Feces, Saliva and/or Buccal, Serum and/or Plasma, Tumor Tissue FFPE, Tumor Tissue Fresh/Frozen, Urine"	1993	1998	50	79
dataset	1412c21e-df33-489c-9a77-358618c75cfa	CEDCD	Lymphoma Epidemiology of Outcomes (LEO) cohort:  Phase 1	"The LEO cohort study is a prospective observational survivorship cohort of 7748 newly diagnosed non-Hodgkin lymphoma (NHL) patients recruited from 8 LEO centers (Cornell, Emory, Mayo Clinic, MD Anderson, University of Iowa, University of Miami, University of Rochester, Washington University) from July 2015 through May 2020 [LEO Phase 1, NCT02736357].  The LEO cohort expanded an ongoing cohort of 4905 NHL patients that was established in 2002 as the Molecular Epidemiology Resource (MER) in the University of Iowa/Mayo Clinic Lymphoma Specialized Program of Research Excellence (SPORE), and was incorporated into LEO as the LEO-MER subcohort in 2015.  Once enrolled, participants completed questionnaires on their health history, lifestyle, quality of life, and other factors.  The LEO study team abstracted clinical, pathology and treatment data from medical records.  Participants provided a blood sample, which was processed and stored as DNA, buffy coat, plasma and serum in the LEO biorepository.  LEO study pathologists reviewed and classified diagnostic tumor tissue, some of which is stored in the LEO biorepository as tissue microarrays and tumor DNA and RNA.  The LEO team then actively follows all participants over time to collect disease outcomes, new treatments, and subsequent cancers (all validated) as well updated medical and lifestyle data, patient-reported outcomes (including quality of life) and other factors potentially impacting survivorship.   LEO has been renewed through 2026 for follow-up of all participants as well as additional targeted recruitment as LEO Phase 2 [NCT04996706]."	155	https://cedcd.nci.nih.gov/cohort?id=155	"Christopher R. Flowers, MD, James R. Cerhan, MD, PhD"		Cancer Epidemiology Descriptive Cohort Database (CEDCD)						Survivor	Multiple Cancer Types	7735		https://leocohort.org/		"All Other Cancers, Bladder, Bone, Brain, Cervix (Squamous cell carcinoma, Adenocarcinoma), Colon, Corpus, body of uterus, Esophagus, Gall bladder and extrahepatic bile ducts, Hodgkin Lymphoma, Invasive Breast Cancer, Kidney and other unspecified urinary organs, Leukemia, Liver and intrahepatic bile ducts, Lung and bronchus, Melanoma (excluding mucosal sites), Myeloma, Non-Hodgkin Lymphoma, Oropharyngeal, Ovary, fallopian tube, broad ligament, Pancreas, Prostate, Rectum and anus, Small intestine, Stomach, Thyroid"	"Buffy Coat and/or Lymphocytes, Feces, Saliva and/or Buccal, Serum and/or Plasma, Tumor Tissue FFPE, Tumor Tissue Fresh/Frozen, Urine"	2015	2020	18	99
dataset	269f39cd-7920-444b-a469-fa5619ec3fc0	CEDCD	Lymphoma Epidemiology of Outcomes (LEO) cohort:  Molecular Epidemiology Resource Subcohort	"The LEO cohort study is a prospective observational survivorship cohort of over 7748 newly diagnosed non-Hodgkin lymphoma (NHL) patients recruited from 8 LEO centers (Cornell, Emory, Mayo Clinic, MD Anderson, University of Iowa, University of Miami, University of Rochester, Washington University) from July 2015 through May 2020 [LEO Phase 1, NCT02736357].  The LEO cohort expanded an ongoing cohort of over 4905 NHL patients that was established in 2002 as the Molecular Epidemiology Resource (MER) in the University of Iowa/Mayo Clinic Lymphoma Specialized Program of Research Excellence (SPORE), and was incorporated into LEO as the LEO-MER subcohort in 2015.  Once enrolled, participants completed questionnaires on their health history, lifestyle, quality of life, and other factors.  The LEO study team abstracted clinical, pathology and treatment data from medical records.  Participants provided a blood sample, which was processed and stored as DNA, buffy coat, plasma and serum in the LEO biorepository.  LEO study pathologists reviewed and classified diagnostic tumor tissue, some of which is stored in the LEO biorepository as tissue microarrays and tumor DNA and RNA.  The LEO team then actively follows all participants over time to collect disease outcomes, new treatments, and subsequent cancers (all validated) as well updated medical and lifestyle data, patient-reported outcomes (including quality of life) and other factors potentially impacting survivorship.   LEO has been renewed through 2026 for follow-up of all participants as well as additional targeted recruitment as LEO Phase 2 [NCT04996706]."	153	https://cedcd.nci.nih.gov/cohort?id=153	"Christopher R. Flowers, PhD, James R. Cerhan, MD, PhD"		Cancer Epidemiology Descriptive Cohort Database (CEDCD)						Survivor	Multiple Cancer Types	4905		https://leocohort.org/		"All Other Cancers, Bladder, Bone, Brain, Cervix (Squamous cell carcinoma, Adenocarcinoma), Colon, Corpus, body of uterus, Esophagus, Gall bladder and extrahepatic bile ducts, Hodgkin Lymphoma, Invasive Breast Cancer, Kidney and other unspecified urinary organs, Leukemia, Liver and intrahepatic bile ducts, Lung and bronchus, Melanoma (excluding mucosal sites), Myeloma, Non-Hodgkin Lymphoma, Oropharyngeal, Ovary, fallopian tube, broad ligament, Pancreas, Prostate, Rectum and anus, Small intestine, Stomach, Thyroid"	"Buffy Coat and/or Lymphocytes, Feces, Saliva and/or Buccal, Serum and/or Plasma, Tumor Tissue FFPE, Tumor Tissue Fresh/Frozen, Urine"	2002	2015	18	96
dataset	2f6d76a8-f569-45a9-93b3-babe5895207f	CEDCD	Black Women: Etiology and Survival of Triple-negative Breast Cancers Study	The BEST study is a population-based study of Black women with invasive breast cancer diagnosed at age 50 or below recruited through the Florida and Tennessee state cancer registries. The aim of this study is to evaluate genetic (germline and tumor) and non-genetic factors on breast cancer specific survival through collection and analysis of data and samples.	152	https://cedcd.nci.nih.gov/cohort?id=152	"Tuya Pal, MD"		Cancer Epidemiology Descriptive Cohort Database (CEDCD)						Etiology	Multiple Cancer Types	730				"All Other Cancers, Bladder, Bone, Brain, Cervical carcinoma in situ (CIN II/III, CIS, AIS), Cervix (Squamous cell carcinoma, Adenocarcinoma), Colon, Corpus, body of uterus, Ductal carcinoma in situ of breast, Esophagus, Gall bladder and extrahepatic bile ducts, Hodgkin Lymphoma, Invasive Breast Cancer, Kidney and other unspecified urinary organs, Leukemia, Liver and intrahepatic bile ducts, Lung and bronchus, Melanoma (excluding mucosal sites), Myeloma, No Cancer, Non-Hodgkin Lymphoma, Oropharyngeal, Ovary, fallopian tube, broad ligament, Pancreas, Prostate, Rectum and anus, Small intestine, Stomach, Thyroid"	"Buffy Coat and/or Lymphocytes, Feces, Saliva and/or Buccal, Serum and/or Plasma, Tumor Tissue FFPE, Tumor Tissue Fresh/Frozen, Urine"	2010		21	59
dataset	b46af053-56f9-45da-918f-a370b535f1c0	CEDCD	Melbourne Collaborative Cohort Study	"The Melbourne Collaborative Cohort Study is a longitudinal study established in the 1990s by Cancer Council Victoria to investigate prospectively the role of diet and other lifestyle-related factors in the development of cancer and other non-communicable diseases.  Between 1990 and 1994, 41,513 people (24,469 women and 17,044 men), the vast majority aged 40 to 69 years, were recruited into the study.  Approximately one quarter of participants are Southern European migrants to Australia, who were deliberately over-sampled to extend the range of data on lifestyle-related exposures . At baseline, lifestyle exposure information, including dietary intake, was collected in a face-to-face interview. Physical measurements and blood pressure were also taken.  A sample of blood was drawn and stored for analysis of DNA.  The first wave of active follow-up occurred between 1995 and 1998; 88% of study participants completed questionnaires by mail or phone.  A second wave of active follow-up occurred between 2003 and 2007 in which 66% of study participants attended clinics  for face-to face interviews and physical measurements, and also gave a blood sample.  See Cohort Profile at: https://pubmed.ncbi.nlm.nih.gov/28641380/"	149	https://cedcd.nci.nih.gov/cohort?id=149	Roger Milne		Cancer Epidemiology Descriptive Cohort Database (CEDCD)						Etiology	Multiple Cancer Types	41513		http://www.pedigree.org.au/pedigree-studies/health2020.aspx		"All Other Cancers, Bladder, Bone, Brain, Cervix (Squamous cell carcinoma, Adenocarcinoma), Colon, Corpus, body of uterus, Ductal carcinoma in situ of breast, Esophagus, Gall bladder and extrahepatic bile ducts, Hodgkin Lymphoma, Invasive Breast Cancer, Kidney and other unspecified urinary organs, Leukemia, Liver and intrahepatic bile ducts, Lung and bronchus, Melanoma (excluding mucosal sites), Myeloma, Non-Hodgkin Lymphoma, Oropharyngeal, Ovary, fallopian tube, broad ligament, Pancreas, Prostate, Rectum and anus, Small intestine, Stomach, Thyroid"	"Buffy Coat and/or Lymphocytes, Feces, Saliva and/or Buccal, Serum and/or Plasma, Tumor Tissue FFPE, Tumor Tissue Fresh/Frozen, Urine"	1990	1994	27	76
dataset	049dba70-caa8-4510-8917-8d6abd877ada	CEDCD	Shanghai Cohort Study	"The Shanghai Cohort Study is a residential cohort of 18,244 men in Shanghai, China, assembled during 1986-89 when subjects were between the ages of 45 and 64 years. Approximately 80% of eligible men participated in the study. At the time of recruitment, each cohort subject was interviewed in-person by a trained nurse interviewer using a structured questionnaire that included background information, history of tobacco and alcohol use, current diet, and medical history.  At the completion of the interview, the nurse collected a 10 ml blood and a single void urine specimen from the study participant.  Blood and urine samples were kept in insulated boxes with ice (0-4oC).  The serum was separated from blood specimen within 3-4 hours after collection. Two sets of serum (2 ml and 1 ml, respectively) and two sets of urine samples (10 ml each) per subject have been stored at -72 to -80oC.  In the follow-up of 2000-2001, buccal cells were collected from 13,815 original cohort participants (92% of all surviving cohort members). In 2010-2011, we recollected urine samples from 3166 original cohort participants, 43% were persistent smokers and 57% were never smokers over lifetime. these subjects were free of any cancer in 2010-2011 follow-up when the urine samples were collected.   All surviving cohort members have been followed up for the occurrence of cancer, death, and major health outcomes (e.g., cardiovascular disease, diabetes) through routine ascertainment of new cases from the population-based Shanghai Cancer Registry and Shanghai Vital Statistics Units, and annual/biannual in-person follow-up interviews."	146	https://cedcd.nci.nih.gov/cohort?id=146	Jian-Min Yuan		Cancer Epidemiology Descriptive Cohort Database (CEDCD)						Etiology	Multiple Cancer Types	18244		https://www.schs.pitt.edu/methods/shanghai-cohort-study/		"All Other Cancers, Bladder, Bone, Brain, Cervix (Squamous cell carcinoma, Adenocarcinoma), Colon, Corpus, body of uterus, Esophagus, Gall bladder and extrahepatic bile ducts, Hodgkin Lymphoma, Invasive Breast Cancer, Kidney and other unspecified urinary organs, Leukemia, Liver and intrahepatic bile ducts, Lung and bronchus, Melanoma (excluding mucosal sites), Myeloma, Non-Hodgkin Lymphoma, Oropharyngeal, Ovary, fallopian tube, broad ligament, Pancreas, Prostate, Rectum and anus, Small intestine, Stomach, Thyroid"	"Buffy Coat and/or Lymphocytes, Feces, Saliva and/or Buccal, Serum and/or Plasma, Tumor Tissue FFPE, Tumor Tissue Fresh/Frozen, Urine"	1986	1989	45	64
dataset	5105aa4a-374f-41c4-b53b-160791bd0a30	CEDCD	Singapore Chinese Health Study	"The Singapore Chinese Health Study is a residential cohort of 63,257 middle-aged and older (45 to 74 years of age) Singapore Chinese men and women accrued between 1993 and 1998. At recruitment, each study participant was interviewed in person by a trained interviewer using a structured questionnaire that emphasized current diet assessed via a validated, 165-item food frequency questionnaire.  Between July 1999 and December 2003, all surviving cohort subjects were re-contacted for consent to a telephone interview to update information on selected exposures and medical history (The Follow-up I Survey). Interviews were completed on 52,326 subjects, representing a consent rate of over 90%.  Right after the first follow-up interview, we collected blood and urine samples from all consented cohort participants. From 2000 to 2005, we collected biological specimens from 32,543 subjects (28,330 bloods, 4,400 buccal cells, 31,895 urines), representing a consent rate of approximately 60 percent of surviving cohort participants.   From 2006 to 2010, we conducted a second telephone follow-up interview to update information on subject's change on smoking, dietary, and other lifestyles, body weight, physical exercise, use of medication and medical history. During 2014-2017, we administered a third telephone follow-up interview that collected additional information on cognitive function measures including the Mini Mental State Exam, Geriatric Depression and Anxiety Scales, Social Support and Stress Scales, Quality of Life and Independent Living Scale.  We have assessed these new measures on 17,107 subjects that provided data resources for research on aging and healthy living and disease outcomes including cancer.  The cohort has been followed for death, cancer occurrence, and other major health outcome occurrences through regular record linkage with the population-based Singapore Cancer Registry, the Singapore Registry of Births and Deaths, and the Singapore National Hospital Discharge Data System, as well as through follow-up interviews for outcomes that are not registered nationally or hospitalized for treatment. The observed numbers of incident cancers and deaths within the cohort are comparable to corresponding expected numbers based on age- and sex-specific incidence rates for all Chinese in Singapore. So far less than 1% of original cohort participants migrated out of Singapore, thus were lost to the follow-up for incident death and cancer occurrences."	145	https://cedcd.nci.nih.gov/cohort?id=145	"Jian-Min Yuan, Woon-Puay Koh"		Cancer Epidemiology Descriptive Cohort Database (CEDCD)						Etiology	Multiple Cancer Types	63257		https://www.schs.pitt.edu		"All Other Cancers, Bladder, Bone, Brain, Cervical carcinoma in situ (CIN II/III, CIS, AIS), Cervix (Squamous cell carcinoma, Adenocarcinoma), Colon, Corpus, body of uterus, Esophagus, Gall bladder and extrahepatic bile ducts, Hodgkin Lymphoma, Invasive Breast Cancer, Kidney and other unspecified urinary organs, Leukemia, Liver and intrahepatic bile ducts, Lung and bronchus, Melanoma (excluding mucosal sites), Myeloma, Non-Hodgkin Lymphoma, Oropharyngeal, Ovary, fallopian tube, broad ligament, Pancreas, Prostate, Rectum and anus, Small intestine, Stomach, Thyroid"	"Buffy Coat and/or Lymphocytes, Feces, Saliva and/or Buccal, Serum and/or Plasma, Tumor Tissue FFPE, Tumor Tissue Fresh/Frozen, Urine"	1993	1998	45	74
dataset	d311690b-859b-4607-8a27-90d217885f15	CEDCD	Iowa Women's Health Study	"Cancer is the second leading cause of death in postmenopausal women, and detailed epidemiological investigations are warranted to identify etiologic factors, including potentially modifiable risk factors. The Iowa Women's Health Study (IWHS) recruited a population-based cohort of 41,836 Iowa postmenopausal women, ages 55 to 69 years in 1986, to determine whether diet, body fat distribution, and other risk factors were related to cancer incidence. After excluding 3830 prevalent cancers at baseline, there 38,006 women (99.1% white)  Over the years, participants have completed up to six mailed questionnaires to collect data on exposures and lifestyle factors. Cancer incidence and mortality have been ascertained since 1986 by linkage with the State Health Registry of Iowa, which is part of the NCI-funded Surveillance, Epidemiology, and End Results (SEER) Program;  and the National Death Index.  The follow-up for site-specific cancer incidence and mortality is through 27 years (until 2014). New data are not being collected.  A total of 12,750 primary cancers had occurred in the cohort by the end of 2012, and among the 38,006 women who were cancer free at baseline, 11,428had developed first primary cancers. The wealth of data on the cohort is enabling investigators to conduct analyses in many areas to test hypotheses on:     -potential risk factors for uncommon cancers;    -unexamined potential risk factors for incident common cancers;    -risk factors for incident cancers examined in a limited fashion previously;     -risk factors for incident cancers among elderly women     -consequences of a cancer diagnosis among elderly cancer survivors    -potential contributors to better survival from cancer  This research project is providing valuable information on the risk and survival of cancer in older women. With the number of Americans over age 65 on the rise, the cohort is becoming increasingly informative with respect to findings on less common cancers and lifestyle predictors of cancer occurrence and survival among the elderly."	143	https://cedcd.nci.nih.gov/cohort?id=143	Anna Prizment		Cancer Epidemiology Descriptive Cohort Database (CEDCD)						Etiology	Multiple Cancer Types	41836				"All Other Cancers, Bladder, Bone, Brain, Cervix (Squamous cell carcinoma, Adenocarcinoma), Colon, Corpus, body of uterus, Esophagus, Gall bladder and extrahepatic bile ducts, Hodgkin Lymphoma, Invasive Breast Cancer, Kidney and other unspecified urinary organs, Leukemia, Liver and intrahepatic bile ducts, Lung and bronchus, Melanoma (excluding mucosal sites), Myeloma, Non-Hodgkin Lymphoma, Oropharyngeal, Ovary, fallopian tube, broad ligament, Pancreas, Prostate, Rectum and anus, Small intestine, Stomach, Thyroid"	"Buffy Coat and/or Lymphocytes, Feces, Saliva and/or Buccal, Serum and/or Plasma, Tumor Tissue FFPE, Tumor Tissue Fresh/Frozen, Urine"	1986	1986	55	69
