dataset_source_id,old_title,new_title,use_new_title
phs001982,Rb and p53-Deficient Pleomorphic Myofibroblastic Sarcomas Require Skp2,Rb and p53-Deficient Myxofibrosarcoma and Undifferentiated Pleomorphic Sarcoma Require Skp2 for Survival,y
phs001993,"WES, RNASeq and CNV Analysis of NF1-Associated Atypical Neurofibromas","Low mutation burden and frequent loss of CDKN2A/B and SMARCA2, but not PRC2, define pre-malignant neurofibromatosis type 1-associated atypical neurofibromas",y
phs001994,Smoking and Tumor Immune Microenvironment in HNSCC,Effects of tobacco smoking on the tumor immune microenvironment in head and neck squamous cell carcinoma,y
phs001997,Kids First: Genomics of African and Asian Orofacial Clefts Triads,Gabriella Miller Kids First Pediatric Research Program in Whole Genome Sequencing of African and Asian Orofacial Clefts Case-Parent Triads,y
phs002019,WES and RNA-Seq Analysis in Paired Sun-Exposed Epidermis and SCCIS Samples,Whole exome and transcriptome analysis of UV-exposed epidermis and carcinoma in situ reveals early drivers of carcinogenesis,y
phs002021,Chemotherapy and Unrelated Donor SCT for Blood and Immune System Cancers,"Phase II trial of targeted immune-depleting chemotherapy and reduced-intensity allogeneic hematopoietic stem cell transplantation using 8/8 and 7/8 HLA-matched unrelated donors and utilizing two graft-versus-host disease prophylaxis regimens for the treatment of leukemias, lymphomas, and pre-malignant blood disorders",y
phs002022,Genomic Analysis of Primary Plasma Cell Leukemia,Genomic analysis of primary plasma cell leukemia reveals complex structural alterations and high risk mutational patterns,y
phs002023,Drug Screening of Patient-Derived Organoids from Colorectal Peritoneal Metastases,Drug screening of patient-derived organoids from colorectal peritoneal metastases,y
phs002037,Methylation Biomarker Study of Magnesium Deficiency and Colorectal Cancer,Methylation biomarker study of magnesium deficiency and colorectal cancer,y
phs002045,Intraductal Transplantation Models of PDAC Reveal Progression of Subtypes,Intraductal transplantation models of human pancreatic ductal adenocarcinoma reveal progressive transition of molecular subtypes,y
phs002051,DNA Methylation in Rhabdomyosarcoma PDX and PDX-Derived Primary Cells,DNA methylation in rhabdomyosarcoma PDX and PDX-derived primary cells,y
phs002061,Genomic Damage in HIV-Uninfected Children with In Utero Zidovudine Exposure,The Surveillance Monitoring for ART Toxicities (SMARTT) and the Women and Infants Transmission Study (WITS),y
phs002162,Kids First: Genetics of Kidney and Urinary Tract Malformations,Kids First: Genetics of  Kidney and Urinary Tract Malformations,y
phs002262,Characterization of High-Grade Serous Ovarian Cancer Subtypes via Single-Cell Profiling,Characterization of High-Grade Serous Ovarian Cancer Subtypes via Single-Cell and Spatial-Transcriptomics Profiling,y
phs002321,Characterizing Advanced Breast Cancer Heterogeneity and Treatment Resistance through Serial Biopsies and Comprehensive Analytics,Characterizing Advanced Breast Cancer Heterogeneity and Treatment Resistance through Serial Biopsies and Comprehensive  Analytics,y
phs002486,Nivolumab and Tumor Infiltrating Lymphocytes (TIL) in Advanced Non-Small Cell Lung Cancer,Nivolumab and Tumor Infiltrating Lymphocytes (TIL) in Advanced Non-Small    Cell Lung Cancer,y
phs002504,UCSF Database for the Advancement of JMML - Integration of Metadata with 'Omic' Data,UCSF Database for the Advancement of JMML - Integration of Metadata with Omic Data,y
phs002556,Genomic Features of Lung Adenocarcinoma from Individuals with 10 Pack-Year Smoking History,Genomic Features of Lung Adenocarcinoma from Individuals with <= 10 Pack-Year Smoking History,y
phs003041,Mayo Clinic Adult Diffuse Glioma Illumina OncoArray SNP data,Mayo Clinic Adult Diffuse Glioma Illumina OncoArray SNP Data,y
phs003325,DNA-Sequencing of Baseline Plasma From the Phase III Alliance A031201 Trial,DNA-Sequencing of Baseline and Progression Plasma from the Phase III Alliance A031201 Trial,y
phs003428,CALGB/SWOG 80405: Genome-Wide Association Study of Patients with Advanced or Metastatic Colorectal Cancer Treated with First-Line Chemotherapy Combined with Cetuximab and/or Bevacizumab,CALGB/SWOG 80405: Genome-Wide Association Study of Patients with Advanced or Metastatic Colorectal Cancer Treated with  First-Line Chemotherapy Combined with Cetuximab and/or Bevacizumab,y
phs003725,Project 1: Carolina Breast Cancer Study (CBCS): Linking Tumor Biology to Social,Carolina Breast Cancer Study (CBCS),y
phs003780,Rearrangements of Viral and Human Genomes at Human Papillomavirus Integration Events and Their Allele-Specific Impacts on Cancer GenomeRegulation,Rearrangements of Viral and Human Genomes at Human Papillomavirus Integration Events and Their Allele-Specific Impacts on Cancer Genome Regulation,y
phs003853,Stanford Acute Myeloid Leukemia Single-Cell DNA Sequencing,Stanford Acute Myeloid Leukemia Sequencing,y
