type	resource_uuid	resource_source_id	resource_title	resource_short_description	resource_source_url	resource_tool_type	resource_tool_subtype	resource_research_area	resource_research_type	resource_access	resource_doc	resource_poc_email	resource_poc_name	resource_full_description
resource	6e79f005-e157-5dc0-9152-ef16cb7c8bed	r4r_0011	Digital Imaging and Communications in Medicine (DICOM) ToolKit (DCMTK)	DCMTK is a collection of libraries and applications implementing large parts the Digital Imaging and Communications in Medicine (DICOM) standard.	http://dicom.offis.de/dcmtk.php.en	Analysis Tools	Imaging Analysis	Cancer Biology;Screening and Detection	Translational	Open Access	Informatics Technology for Cancer Research (ITCR)			DCMTK is a collection of libraries and applications implementing large parts the DICOM standard. It includes software for examining, constructing, and converting DICOM image files, handling offline media, and sending and receiving images over a network connection, as well as demonstrative image storage and worklist servers. DCMTK is written in a mixture of ANSI C and C++. It comes in complete source code and is made available as open-source software.
resource	f94a9e4c-5fd4-5e54-a51b-eaef35d3e0e7	r4r_0012	DINC 2.0 (Docking INCrementally)	DINC 2.0 is a parallelized meta-docking method for the incremental docking of large ligands (currently using AutoDock 4).	http://dinc.kavrakilab.org	Analysis Tools	Modeling	Bioinformatics;Cancer Biology	Basic	Open Access	Informatics Technology for Cancer Research (ITCR)			DINC 2.0 is a parallelized meta-docking method for the incremental docking of large ligands (currently using AutoDock 4).
resource	3666e0d3-a8dd-533c-afeb-36d83771cf22	r4r_0013	Galaxy-P multi-omics	Galaxy-P is a multi-omics informatics platform-a unified platform for integrative genomic-proteomic-metabolomic data analysis and informatics in cancer research.	http://galaxyp.org	Analysis Tools	Genomic Analysis	Cancer Omics	Basic	Open Access	Informatics Technology for Cancer Research (ITCR)			Galaxy-P is a multi-omics informatics platform-a unified platform for integrative genomic-proteomic-metabolomic data analysis and informatics in cancer research. The focus of the platform is integrative analysis of genomics, transcriptomics, and mass spectrometry-based proteomics and metabolomics data.
resource	bebe78ce-842d-54b9-b25c-cefb63512506	r4r_0014	LesionTracker Web Image Viewer	LesionTracker Web Image Viewer is an extensible, open-source, zero-footprint web image viewer for oncology imaging. LesionTracker is a web browser-based platform for viewing and measuring lesion metrics for tracking oncology trials .	http://lesiontracker.ohif.org	Analysis Tools	Data Visualization;Imaging Analysis	Cancer Treatment;Screening and Detection	Clinical Trials;Translational	Open Access	Informatics Technology for Cancer Research (ITCR)			LesionTracker Web Image Viewer is an extensible, open-source, zero-footprint web image viewer for oncology imaging. LesionTracker is a web browser-based platform for viewing and measuring lesion metrics for tracking oncology trials.
resource	044a5dd9-6ab8-50af-be74-00fc480a1b34	r4r_0015	Web Multiple-experiment Viewer (MeV)	Web MeV is a cloud-based tool for genomic data analysis.	http://mev.tm4.org/#/welcome	Analysis Tools	Data Visualization;Genomic Analysis	Cancer Omics	Basic	Open Access	Informatics Technology for Cancer Research (ITCR)			Web MeV is a cloud-based tool for genomic data analysis. Web MeV is being built to meet the challenge of exploring large public genomic datasets with an intuitive graphical interface providing access to state-of-the-art analytical tools.
resource	8e266ea1-5f50-5763-80f0-aa6cfb6cb6b0	r4r_0016	Mutated Positions in Annotated Structures (MuPIT)	MuPIT provides 3D visualization of mutation clusters and functional annotation.	http://mupit.icm.jhu.edu/MuPIT_Interactive/	Analysis Tools	Data Visualization	Cancer Biology;Cancer Omics	Basic	Open Access	Informatics Technology for Cancer Research (ITCR)			MuPIT provides 3D visualization of mutation clusters and functional annotation.
resource	2bc8030a-c00d-5077-badc-0ff55645a87b	r4r_0017	OmniSearch	OmniSearch is a semantic search software based upon the Ontology for MIcroRNA Target (OMIT) ontology. While OmniSearch is by its nature extensible, its initial focus is in human cancer research.	http://omnisearch.soc.southalabama.edu/ui/	Terminology		Bioinformatics;Cancer Biology;Cancer Omics	Basic	Open Access	Informatics Technology for Cancer Research (ITCR)			OmniSearch is a semantic search software based upon the Ontology for MIcroRNA Target (OMIT) ontology. While OmniSearch is by its nature extensible, its initial focus is in human cancer research.
resource	16728ff7-a064-59b6-bb99-ac2e5d46513d	r4r_0018	Ontology for MIcroRNA Target (OMIT)	OMIT is a domain ontology specifically designed for the microRNA (miRNA) field. OmniSearch software was developed to handle the significant challenge of miRNA-related data integration and query.	http://omnisearch.soc.southalabama.edu/w/index.php/Ontology	Terminology		Cancer Omics	Translational	Open Access	Informatics Technology for Cancer Research (ITCR)			OMIT is a domain ontology specifically designed for the miRNA field. OmniSearch software was developed to handle the significant challenge of miRNA-related data integration and query. It will significantly assist biologists, bioinformaticians, and clinical investigators to unravel critical roles performed by different miRNAs in human disease.
resource	c737fe3c-7816-5cb2-94ef-b36b4c6dc1aa	r4r_0019	Sedeen viewer	Sedeen is a freely downloadable pathology viewer which supports viewing, annotation, and analysis of Whole Slide Images.	http://pathiip.org	Analysis Tools;Datasets and Databases	Imaging;Imaging Analysis	Cancer Diagnosis;Screening and Detection	Translational	Open Access	Informatics Technology for Cancer Research (ITCR)			Sedeen is a freely downloadable pathology viewer which supports viewing, annotation, and analysis of Whole Slide Images. Functionality will be extended as part of the Pathology Image Informatics Platform.
resource	dcab14d0-1b4f-5f14-8662-d376a92b9c35	r4r_0020	Tools for Quantitative Analysis of Positron-Emission Tomography (PET) Imaging	A collection of extensions for 3D Slicer to enable quantitative analysis of PET imaging data, including image normalization, segmentation, and extraction of quantitative indices.	http://qin.iibi.uiowa.edu	Analysis Tools	Imaging Analysis	Cancer Treatment;Screening and Detection	Clinical Trials;Translational	Open Access	Informatics Technology for Cancer Research (ITCR)			A collection of extensions for 3D Slicer to enable quantitative analysis of PET imaging data, including image normalization, segmentation, and extraction of quantitative indices.
resource	b00e22bf-f469-5934-81e3-1c1f998aeea1	r4r_0021	Quantitative Imaging In Pathology (QUIP)	This site hosts web-accessible applications, tools, and data designed to support analysis, management, and exploration of whole slide tissue images for cancer research.	https://sbu-bmi.github.io/quip_distro/	Analysis Tools;Datasets and Databases	Imaging;Imaging Analysis	Cancer Diagnosis	Translational	Open Access	Informatics Technology for Cancer Research (ITCR)			This site hosts web-accessible applications, tools, and data designed to support analysis, management, and exploration of whole slide tissue images for cancer research. QUIP includes the following tools:<br>caMicroscope: A digital pathology data management and visualization plaform that enables interactive viewing of whole slide tissue images and segmentation results. caMicroscope can be also used independently of QUIP.<br>FeatureExplorer: An interactive tool to allow patient-level feature exploration across multiple dimensions.<br>FeatureScape: A visual analytics platform for exploring imaging features generated by analysis of whole slide tissue images.
resource	4ab11266-001e-5937-8788-5d7409e883a4	r4r_0022	GenePattern	GenePattern is a genomic analysis platform that provides access to hundreds of tools for the analysis and visualization of multiple data types.	http://software.broadinstitute.org/cancer/software/genepattern/	Analysis Tools	Genomic Analysis	Cancer Omics	Basic	Open Access	Informatics Technology for Cancer Research (ITCR)			GenePattern is a genomic analysis platform that provides access to hundreds of tools for the analysis and visualization of multiple data types. A web-based interface provides easy access to these tools and allows the creation of multi-step analysis pipelines that enable reproducible in silico research. A new GenePattern Notebook environment allows users to combine GenePattern analyses with text, graphics, and code to create complete reproducible research narratives.
resource	3e71f66a-ccb1-5eb8-a68c-d6e45b5c891d	r4r_0023	The Cancer Proteome Atlas	The Cancer Proteome Atlas is a comprehensive bioinformatic resource for assessing, visualzing, and analyzing the functional proteomics data of patient tumor and cell line samples.	http://tcpaportal.org	Analysis Tools;Datasets and Databases;Lab Tools		Cancer Omics	Basic	Open Access	Informatics Technology for Cancer Research (ITCR)			The Cancer Proteome Atlas is a comprehensive bioinformatic resource for assessing, visualizing, and analyzing the functional proteomics data of patient tumor and cell line samples.
resource	556c25d7-d38f-5b89-9f7b-23f3eed585d6	r4r_0024	The Cancer Imaging Archive (TCIA)	TCIA is NCI's repository for publicly shared cancer imaging data.	http://www.cancerimagingarchive.net	Datasets and Databases	Imaging	Cancer Diagnosis	Translational	Open Access	Informatics Technology for Cancer Research (ITCR)			"TCIA is NCI's repository for publicly shared cancer imaging data. TCIA collections include radiology and pathothogy images, clinical and clinical trial data, image-derived annotations and quantitative features and a growing collection of related 'omics"" data from both clinical and preclinical studies."
resource	374f339b-72db-5871-b827-65f566a867b6	r4r_0025	cBioPortal for Cancer Genomics	The cBioPortal for cancer genomics provides visualization, analysis and download of large-scale cancer genomics datasets.	http://www.cbioportal.org	Analysis Tools	Data Visualization;Genomic Analysis	Cancer Omics	Basic	Open Access	Informatics Technology for Cancer Research (ITCR)			The cBioPortal for cancer genomics provides visualization, analysis and download of large-scale cancer genomics data sets.
resource	68bb88b9-97f2-5dc5-b5a0-f603d8f1c257	r4r_0026	Chernobyl Tissue Bank (CTB)	CTB maintains a research resource that supports studies on the biology of thyroid cancer, the major health consequence of the Chernobyl accident.	http://www.chernobyltissuebank.com/	Lab Tools	Biospecimen	Cancer Biology;Cancer Survivorship;Causes of Cancer	Basic;Clinical;Translational	Requires Registration	Division of Cancer Epidemiology & Genetics (DCEG)	ncicontactdceg@mail.nih.gov		CTB is an international collaborative project that is supported by NCI's Division of Cancer Biology and the Sasakawa Memorial Health Foundation of Japan with active participation from Russia and Ukraine, two countries heavily affected by the 1986 Chernobyl accident. CTB manages biospecimen resources and associated data sets that support studies on the biology of thyroid cancer, the major health consequence of the Chernobyl accident. For more information on this Tissue Bank, please visit the Chernobyl Tissue Bank website.
resource	72659718-76db-5729-82b3-bc494f57e16d	r4r_0027	Cancer-Related Analysis of Variants Toolkit (CRAVAT)	CRAVAT is an easy to use web-based tool for analysis of cancer variants (missense, nonsense, in-frame indel, frameshift indel, and splice site).	http://www.cravat.us/CRAVAT/	Analysis Tools	Genomic Analysis	Cancer Biology;Cancer Omics	Basic;Translational	Open Access	Informatics Technology for Cancer Research (ITCR)			CRAVAT is an easy to use web-based tool for analysis of cancer variants (missense, nonsense, in-frame indel, frameshift indel, and splice site). CRAVAT provides scores and a variety of annotations that assist in identification of important variants. Results are provided in an interactive, highly graphical webpage and include annotated 3D structure visualization. CRAVAT is also available for local or cloud-based installation as a Docker container.
resource	6658c1e1-4ed4-5d32-8309-23ddebd8da80	r4r_0028	Tumor Heterogeneity Research Interactive Visualization Environment (THRIVE)	THRIVE is a platform for quantitative evaluation of intratumoral spatial heterogeneity in multiplexed immunofluorescence images.	http://www.csb.pitt.edu/ith/	Analysis Tools	Imaging Analysis	Cancer Diagnosis;Screening and Detection	Basic	Open Access	Informatics Technology for Cancer Research (ITCR)			THRIVE is a platform for quantitative evaluation of intratumoral spatial heterogeneity in multiplexed immunofluorescence images, using characterization of the spatial interactions between different cellular phenotypes and non-cellular constituents in the tumor microenvironment.
resource	a7cbba18-c9ff-5165-8eb8-f7e33870f0f3	r4r_0029	Integrative Genomics Viewer (IGV)	IGV is a high-performance visualization tool for interactive exploration of large, integrated genomic datasets that supports a wide variety of data types.	http://www.igv.org	Analysis Tools	Data Visualization;Genomic Analysis	Cancer Omics	Basic;Translational	Open Access	Informatics Technology for Cancer Research (ITCR)			IGV is a high-performance visualization tool for interactive exploration of large, integrated genomic datasets. It supports a wide variety of data types, including array-based and next-generation sequence data and genomic annotations.
resource	3a09f058-dcdb-57c9-a609-bf4577fb2eda	r4r_0030	The Network Data Exchange (NDEx)	NDEx is an online commons where scientists can upload, share, and publicly distribute biological networks and pathway models.	http://www.ndexbio.org/#/	Analysis Tools;Datasets and Databases	Biological Networks;R Software	Cancer Biology	Basic	Open Access	Informatics Technology for Cancer Research (ITCR)			NDEx is an online commons where scientists can upload, share, and publicly distribute biological networks and pathway models. The NDEx Project maintains a web-accessible public server and a documentation website. It provides seamless connectivity to Cytoscape as well as programmatic access using a variety of languages, including Python and Java.
resource	44b47308-e656-51b2-b93b-e30af54d1d25	r4r_0031	Patient-Derived Xenograft (PDX) Finder	PDX Finder, currently in the prototyping phase, is a tool for integrating , archiving, and dessiminating information about PDX models and their associated data.	http://www.pdxfinder.org	Datasets and Databases;Lab Tools	Animal Models;Clinical Data	Cancer Biology	Basic	Open Access	Informatics Technology for Cancer Research (ITCR)			PDX Finder, currently in the prototyping phase, is a tool for integrating, archiving and dessiminating information about PDX models and their associated data.
resource	ded84866-693d-5186-8bcf-e9947abd1969	r4r_0032	The International Registry of Werner Syndrome	The International Registry of Werner Syndrome is the primary repository of samples and data from patients with Werner Syndrome (WS). The registry ascertains and genotypes new pedigree cases from around the world.	http://www.wernersyndrome.org/registry/registry.html	Datasets and Databases;Lab Tools	Biospecimen;Cell Lines;Patient Registries	Cancer Biology;Cancer Survivorship;Causes of Cancer	Basic;Clinical	Requires Registration	Division of Cancer Biology (DCB)	yassinr@mail.nih.gov	Rihab Yassin	The International Registry of Werner Syndrome is the primary repository of samples and data from patients with Werner Syndrome (WS), and was established in 1988 as part of an objective to positionally clone the WS gene. The registry ascertains and genotypes new pedigree cases from around the world, using lymphoblastoids and/or fibroblasts from human research participants, and provides genetic confirmation of classical WS. It also establishes and cryopreserves cell lines and other material from these pedigrees (both affected patients and their clinically unaffected siblings), including Epstein-Barr transformed peripheral blood B lymphocytes, primary skin fibroblasts, immortalized skin fibroblasts, WRN cDNA constructs, and others. All these materials are available for research.
resource	12965cc5-70dd-5bb2-8a1a-30d1f94f285c	r4r_0033	University of California, Santa Cruz (UCSC) Xena	UCSC Xena securely analyzes and visualizes private functional genomics datasets in the context of public and shared genomic/phenotypic datasets, such as The Cancer Genome Atlas (TCGA), International Cancer Genome Consortium (ICGC), Therapeutically Applicable Research to Generate Effective Treatments (TARGET), Genotype-Tissue Expression (GTEx), and TOIL (Scalable and Efficient Workflow Engine).	http://xena.ucsc.edu	Analysis Tools	Data Visualization;Genomic Analysis	Cancer Omics	Basic	Open Access	Informatics Technology for Cancer Research (ITCR)			UCSC Xena securely analyzes and visualizes private functional genomics datasets in the context of public and shared genomic/phenotypic datasets, such as The Cancer Genome Atlas (TCGA), International Cancer Genome Consortium (ICGC), Therapeutically Applicable Research to Generate Effective Treatments (TARGET), Genotype-Tissue Expression (GTEx), and TOIL (Scalable and Efficient Workflow Engine).
resource	2ef6a696-376c-590f-90f3-eafc33cb9b57	r4r_0034	NCI Best Practices for Biospecimen Resources Handbook, 2026	This publication outlines the operational, technical, ethical, legal, and policy best practices for NCI-supported biospecimen resources.	https://biospecimens.cancer.gov/bestpractices/2016-NCIBestPractices.pdf	Lab Tools	Protocols	Cancer Biology;Cancer Health Disparities	Basic;Clinical Trials	Open Access	Division of Cancer Treatment & Diagnosis (DCTD)			This publication outlines the operational, technical, ethical, legal, and policy best practices for NCI-supported biospecimen resources. NCI Best Practices incorporate key principles that define state-of-the-science biospecimen resource practices, promote biospecimen and data quality, and support adherence to ethical and legal requirements. This document is based on current published information and will be revised periodically as new information is generated from ongoing research projects. This revision was published in March 2026.
resource	a87dcc4c-7727-584d-8ca2-be2ca168e0b1	r4r_0035	Protocol - Snap-Freezing of Post-Surgical Tissue Biospecimens	This protocol provides evidence-based guidance for the proper snap-freezing of human tissue biospecimens.	https://biospecimens.cancer.gov/global/pdfs/NCI_BEBP_Snap-freezing_of_Post-surgical_Tissue_Biospecimens.pdf	Lab Tools	Protocols	Cancer Biology	Clinical Trials	Open Access	Division of Cancer Treatment & Diagnosis (DCTD)			This protocol provides evidence-based guidance for the proper snap-freezing of human tissue biospecimens. This guidance is intended to support the development and execution of evidence-based Standard Operating Procedures (SOPs) for human biospecimen collection, processing, and storage operations. It is applicable to all human tissues that are to be preserved by snap-freezing. Biospecimens preserved under these procedural guidelines are suitable for downstream analysis of DNA, RNA, protein, and morphology endpoints. Additional analytical endpoints, including but not limited to cell viability, cell sorting, drug sensitivity testing, or use as donor specimens for xenografts or primary tissue culture, do not fall within the scope of this document.
resource	f5397d80-ca5f-5ee0-a2fd-e46227559664	r4r_0036	Standard Operating Procedure (SOP) Collection for Biobanking and the Genome Tissue Expression (GTEx) Project	This resource is a library of SOPs for various biobanking practices to govern operations in ethical and regulatory procedures; biospecimen collecting and tracking; data collection; production of collection and shipping kits and checklists; and pathology review.	https://biospecimens.cancer.gov/resources/sops/library.asp	Lab Tools	Protocols	Cancer Biology;Cancer Health Disparities;Cancer Omics	Clinical Trials	Open Access	Division of Cancer Treatment & Diagnosis (DCTD)			This library of SOPs addresses various biobanking practices used in initiatives such as the Cancer Human Biobank (caHUB). The caHUB has collected high quality biospecimens and associated data to enable genomic research in the GTEx project, a National Institutes of Health (NIH) Common Fund initiative. The success of GTEx depends on the ability to successfully procure and store high quality biospecimens for analysis. Successful collection of normal human biospecimens from rapid autopsies and organ donors requires complex operations and a stringent quality assurance and control process. For this reason, caHUB has created a large number of SOPs to govern operations in ethical and regulatory procedures; biospecimen collecting and tracking; data collection; production of collection and shipping kits and checklists; and pathology review.
resource	ecff8cbc-e7fd-570a-b7c9-abe687effa44	r4r_0037	Sample Size Planning for an Integrated Phase II/III Study	This program calculates the expected sample size and final power for integrated phase II/III study.	https://brb.nci.nih.gov/brb/samplesize/ip23study1.html	Analysis Tools	Statistical Software	Cancer Treatment	Clinical Trials	Open Access	Division of Cancer Treatment & Diagnosis (DCTD)			The integrated phase II/III study design contains two portions. In the first portion of the study, evidence of activity is gathered using progression free survival (PFS). If there is sufficient evidence of activity, accrual continues and enough patients are accrued until the phase III endpoint of overall survival can be assessed (patients from the first portion and the second portion are used in the final overall survival analysis). This program calculates either simulated or approximate expected time, expected sample size and final power for integrated phase II/III design, a single randomized study with overall survival as the endpoint, a single study with overall survival as the endpoint with a futility analysis based on survival, and separate randomized phase II followed by phase III trials.
resource	b260fdbb-b7de-599a-b908-9f5a50badc82	r4r_0038	Sample Size Planning for Developing Classifiers Using High Dimensional Data	This progam provides estimates of the sample size required for a training set to develop classifiers using high demensional data.	https://brb.nci.nih.gov/brb/samplesize/samplesize4GE.html	Analysis Tools;Community Research Tools	Genomic Analysis;Sample Size Calculator;Statistical Software	Bioinformatics;Cancer Omics	Basic;Translational	Open Access	Division of Cancer Treatment & Diagnosis (DCTD)			This program provides estimates of the sample size required for a training set in order to ensure the resulting binary classifier has an expected accuracy within a tolerance of the optimal accuracy. Classifier performance should also be assessed. This can be done by cross-validation (resampling) or by applying the classifier to an independent validation set. The sample sizes given by this program do not provide the sample size required for a validation set. The sample size provided here also does not address the precision of a cross-validated estimate of prediction accuracy. The program only considers sample sizes below 300. If more than 300 samples are needed, then an error message is returned indicating this.
resource	62d7e106-4d82-5033-a889-3d35b25f7a07	r4r_0039	Biomarker Stratified Randomized Design (Binary)	This program performs stratified design with a prospective analysis plan and binary endpoint.	https://brb.nci.nih.gov/brb/samplesize/sdpap_binary.html	Analysis Tools	Statistical Software	Cancer Treatment	Clinical Trials	Open Access	Division of Cancer Treatment & Diagnosis (DCTD)			A randomized trial comparing new treatment (T) to control (C) includes both classifier-positive and classifier-negative patients. This program presumes availability of binary classifier for biomarker predictive of benefit for new treatment. Sample size calculation for three analysis plans are provided. The first analysis plan determines sample size for the overall test comparing T to C for all randomized patients at reduced two-sided level alpha. The second determines sample size for comparing T to C in the classifier-positive subset at two-sided .05 level. For the third plan, first test for interaction between size of treatment effect and subset (classifier + or classifier -). If the interaction is non-significant, just compare treatments overall at two-sided significance level .05, otherwise, compare treatments within subsets at two-sided .05 level.
resource	f801c78b-adac-5f89-8990-f085979b120d	r4r_0040	Biomarker Stratified Randomized Design (Time-to-Event)	This program performs stratified design with prospective analysis plan and time-to-event endpoint.	https://brb.nci.nih.gov/brb/samplesize/sdpap_survival.html	Analysis Tools	Statistical Software	Cancer Treatment	Clinical Trials	Open Access	Division of Cancer Treatment & Diagnosis (DCTD)			A randomized trial comparing new treatment (T) to control (C) includes both classifier-positive and classifier-negative patients. The program presumes availability of time-to-event predictive of benefit for new treatment. Sample size calculation for three analysis plans are provided: A) Determine sample size for overall test comparing T to C for all randomized patients at reduced two-sided level alpha. B) Determine sample size for comparing T to C in classifier positive subset at two-sided .05 level. C) First test for interaction between size of treatment effect and subset (classifier + or classifier -). If interaction is non-significant, just compare treatments overall at two-sided significance level .05. Otherwise, compare treatments within subsets at two-sided .05 level.
resource	78e02385-f96a-5d06-9de0-5dccda46ba47	r4r_0041	Biomarker Targeted Randomized Design	This program calculates the sample size for biomarker targeted randomized design with binary outcome endpoint.	https://brb.nci.nih.gov/brb/samplesize/td.html	Analysis Tools;Community Research Tools	Sample Size Calculator;Statistical Software	Cancer Treatment	Clinical Trials	Open Access	Division of Cancer Treatment & Diagnosis (DCTD)			Targeted design randomizes only marker-positive patients to a treatment arm. Untargeted design does not measure the marker and randomizes all who otherwise are eligible. By inputting the probability of response for control arm, the proportion of patients who are classifier positive, the improvement in response probability for new treatment in classifier positive patients, the Improvement in response probability for new treatment in classifier negative patients, two-sided significance level, and power, this program calculates the total number of patients for untargeted design and randomized targeted design, as well as total number of patients screened for targeted design.
