dataset_title,description,dbGaP_phs,dbGaP_URL,PI_name,GPA,dataset_doc,dataset_pmid,funding_source,release_date,limitations_for_reuse,assay_method,study_type,primary_disease,participant_count,sample_count,study_links,related_genes,related_diseases,related_terms
EWS-WT1 Fusion Isoforms Establish Oncogenic Programs and Therapeutic    Vulnerabilities in Desmoplastic Small Round Cell Tumors,Desmoplastic Small Round Cell Tumor (DSRCT) is an aggressive mesenchymal tumor driven by fusions between the disordered domain of the Ewing sarcoma RNA binding protein 1 (EWSR1) and the developmental  transcription factor Wilms tumor 1 (WT1). We used genome-wide chromatin profiling to identify EWSR1-WT1-dependent gene regulatory networks and target,phs003682.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003682,Miguel Rivera,Freddie Pruitt,Center for Cancer Genomics (CCG),,,2024-07-31,HMB,ChIP-Seq,Case Set,Sarcoma,2.0,12.0,,,Neoplasms;Epigenomics,Blastoma; CA; CA - Cancer; Cancer; MT; Malignancies
Single-Cell RNA-Sequencing of Human Prostatectomy Tissue,"The tissue microenvironment in prostate cancer is profoundly altered. How prostate cancer cells and their precursors mediate those changes is unclear, in part due to the inability to longitudinally study  the disease evolution in human tissues. To overcome this limitation, we performed extensive single-cell RNA-sequencing (scRNA-seq) to assess the",phs003480.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003480,Srinivasan Yegnasubramanian,Freddie Pruitt,Center for Cancer Genomics (CCG),37905029,,2024-07-30,HMB-IRB-NPU,RNA-Seq,Single Cell Analysis,Prostatic Neoplasms,7.0,12.0,https://www.biorxiv.org/content/10.1101/2023.09.07.553268v2,MYC,Tumor Microenvironment,"NGP - New growth of prostate; Neoplasm of Prostate; Neoplasm of the Prostate; Neoplasm, Prostate; Neoplasm, Prostatic; Neoplasms, Prostate"
CPTAC Proteogenomic Study,"Recently, significant progress has been made in characterizing and sequencing the genomic alterations in statistically robust numbers of samples from several types of cancer. For example, The Cancer Genome Atlas  (TCGA), International Cancer Genome Consortium (ICGC) and other similar efforts are identifying genomic alterations associated with specific cancers",phs001287.v19.p6,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001287,,Sean Hanlon,Center for Strategic Scientific Initiatives (CSSI),,,2024-07-26,GRU,,Case Set,Neoplasms,7117.0,7117.0,https://proteomics.cancer.gov;https://gdc.cancer.gov/about-gdc/contributed-genomic-data-cancer-research/clinical-proteomic-tumor-analysis-consortium-cptac,,"Adenocarcinoma of Lung;Pancreatic Neoplasms;Glioblastoma;Leukemia, Myeloid, Acute;Carcinoma, Renal Cell;Carcinoma, squamous cell of head and neck;Melanoma;Sarcoma;Lung Neoplasms;Uterine Neoplasms","Lung Neoplasms; Sarcoma; Uterine Neoplasms; ADENOCARCINOMA OF LUNG; Adenocarcinoma of lung, somatic; Adenocarcinoma of the Lung"
Early Detection of Malignant and Pre-Malignant Peripheral Nerve Tumors    Using Cell-Free DNA Fragmentomics,"Early detection of neurofibromatosis type 1 (NF1) associated peripheral nerve sheath tumors (PNST) informs clinical decision-making, potentially averting deadly outcomes. Here, we describe a cell-free DNA (cfDNA) fragmentomic approach which  distinguishes non-malignant, pre-malignant and malignant forms of NF1 PNST. Using plasma samples from a novel cohort of 101 NF1 patients and 21",phs003712.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003712,"Jack F. Shern, MD;Aadel A. Chaudhuri, MD/PhD;Angela Hirbe, MD/PhD",Abid Al Reza,Center for Cancer Research (CCR),39093127,CTF-2022-04-003;5T32GM007067;1ZIABC011722-04;1ZIABC010801-13;NTAP946745,2024-07-25,GRU-IRB,WGS,Case-Control,Neurofibromatosis 1,122.0,166.0,,NF1,Cell-Free Nucleic Acids,"Molluscum Fibrosum; Multiple non-ossifying fibromatosis; NEUROFIBROMATOSIS TYPE 1; NEUROFIBROMATOSIS, PERIPHERAL TYPE; NEUROFIBROMATOSIS, TYPE I; NEUROFIBROMATOSIS, TYPE I, SOMATIC"
Childhood Cancer Data Initiative (CCDI): Single-Cell Atlas of NF1 Nerve    Sheath Tumors,"The worst outcome of NF1 is the development of the aggressive and highly metastatic malignant peripheral nerve sheath tumors (MPNST), which transform from benign plexiform neurofibroma (PN) and lack effective  treatment. In this study, we performed single-cell RNA sequencing of 63 clinically annotated NF1-associated peripheral nerve sheath tumors, including",phs003519.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003519,Jack Shern,Freddie Pruitt,Center for Cancer Genomics (CCG),36134665;37167059;36130486;34010628,,2024-07-22,GRU,,Longitudinal,Rare Diseases,29.0,55.0,,NF1;CDKN2A;CDKN2B;SUZ12;EED;TP53,"Neoplasms;Pediatrics;Natural History;Neurofibromatosis 1;Neurofibroma, Plexiform;Neurofibrosarcoma",Neurofibromatosis 1; Rare Disease; Blastoma; CA; CA - Cancer; Cancer
"Childhood Cancer Data Initiative (CCDI): Molecular Characterization    across Pediatric Brain Tumors and Other Solid and Hematologic    Malignancies for Research, Diagnostic, and Precision Medicine","This study contains tumor and germline WGS, RNA-Seq, Clinical Panel Sequencing, and other omics and molecular data for patients with pediatric brain tumors and other solid and hematologic malignancies. This  data has been collected from multiple organizations including the multi-institute Children's Brain Tumor Network (CBTN), the Pacific Pediatric",phs002517.v3.p2,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002517,"Adam C. Resnick, PhD;Allison Heath, PhD",Joseph Flores-Toro,Office of Data Sharing (ODS),,,2024-07-22,GRU,WGS;RNA-Seq;miRNA-Seq;WXS;Targeted-Capture,Clinical Cohort;Clinical Genetic Testing;Clinical Trial;Copy Number Variation (CNV);Exome Sequencing;Genotype/Expression;Individual-Level Genomic Data;Longitudinal;Longitudinal Cohort;Multicenter;Observational;Parent-Offspring;Parent-Offspring Trios;Probands;Prospective;RNA Sequencing;Sequencing;Tissue Expression;Tumor;Tumor vs. Matched-Normal;Whole Genome Sequencing,Brain Neoplasms,3937.0,8972.0,https://www.cbtn.org;https://pnoc.us/;https://www.chop.edu/centers-programs/division-genomic-diagnostics;https://portal.kidsfirstdrc.org;https://pedcbioportal.kidsfirstdrc.org/,,Neoplasms;Pediatrics;Whole Genome Sequencing;RNA-Seq,Brain Tumor; Brain Tumors; Brain neoplasm; Brain tumour; Neoplasm of Brain; Neoplasm of the Brain
Comprehensive Genomic Characterization of Translocation Renal Cell    Carcinoma,"Xp11 translocation renal cell carcinoma (tRCC) is a rare, female-predominant cancer driven by a fusion between the TFE3 gene on chromosome Xp11.2 and a partner gene on either chrX or  an autosome. It remains unknown what types of rearrangements underlie TFE3 fusions, whether fusions can arise from both the active (chrXa) and",phs003008.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003008,"Srinivas R. Viswanathan, MD, PhD",Heather Basehore,Office of Data Sharing (ODS),,,2024-07-19,HMB,RNA-Seq;WGS,Case Set;RNA Sequencing;Tumor vs. Matched-Normal;Whole Genome Sequencing,Kidney,16.0,61.0,,TFE3;XIST;MITF,,Not Provided
Molecular Characterization of Prostate Cancer Specimens by Bulk and    Single Cell Analysis,"Version 1: We performed single-cell RNA-sequencing (scRNA-seq) of fresh biopsies from metastatic castration resistant prostate cancer. Additionally, where available, we performed matched bulk whole exome sequencing (WXS; tumor and normal  paired) and whole transcriptome sequencing for the same individuals. We also performed bulk whole exome (WXS) and RNA-sequencing (RNA-Seq) from FFPE",phs001988.v2.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001988,"Eliezer M. Van Allen, MD;Atish Choudhury, MD, PhD",Tamara Walton,Division of Cancer Treatment and Diagnosis (DCTD),,PCF-V Foundation Challenge Award;U01 CA233100;R01 CA227388;U01 CA233100-04;R35 CA253175,2024-07-19,DS-CA-MDS;DS-PC-MDS;GRU,WXS;RNA-Seq;WGS,Randomized Controlled Clinical Trial,Prostatic Neoplasms,58.0,201.0,,,,"NGP - New growth of prostate; Neoplasm of Prostate; Neoplasm of the Prostate; Neoplasm, Prostate; Neoplasm, Prostatic; Neoplasms, Prostate"
Aberrant Activation of Wound Healing Programs within the Metastatic Niche    Facilitates Lung Colonization by Osteosarcoma Cells,"Lung metastasis is responsible for nearly all deaths caused by osteosarcoma, the most common pediatric bone tumor. How malignant bone cells coerce the lung microenvironment to support metastatic growth is  unclear. This study delineates how osteosarcoma cells educate the lung microenvironment during metastatic progression. Using single-cell",phs003569.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003569,Ryan D. Roberts,Justin Benavidez,Division of Cancer Biology (DCB),38260361,,2024-07-18,GRU-PUB-NPU,RNA-Seq,Case Set,Osteosarcoma,5.0,7.0,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE270231,,Single-Cell Gene Expression Analysis,Bone cell cancer; OSRC; OSTEOSARCOMA; Osteoblastic osteosarcoma; Osteoblastic sarcoma; Osteochondrosarcoma
Chromatin Landscape of BET Inhibitor-Treated CD8+ T-cells from Chronic    Lymphocytic Leukemia Patients,"The pan-BET (bromodomain and extra-terminal) inhibitor, OPN-51107 (OPN5) was found to alleviate features of T-cell exhaustion in models of chronic lymphocytic leukemia (CLL). To evaluate if OPN5 treatment could relieve  fixed chromatin states associated with terminal T-cell dysfunction, ATAC-sequencing was performed on CLL patient T-cells. Peripheral blood",phs003613.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003613,"Dalia El-Gamal, PhD",Freddie Pruitt,Center for Cancer Genomics (CCG),,,2024-07-10,GRU,SRA_supplement;ATAC-seq,Aggregate Genomic Data;Case Set;Epigenetics;Individual-Level Genomic Data;Sequencing,"Leukemia, Lymphocytic, Chronic, B-Cell",5.0,10.0,,,CD8-Positive T-Lymphocytes;Assay for Transposase-Accessible Chromatin Using Sequencing;Bromodomain-Containing Proteins;T-Cell Exhaustion,"B Cell CLL; B Cell Chronic Lymphocytic Leukemia; B Cell Leukemia, Chronic; B Cell Lymphocytic Leukemia; B Cell Malignancy, Low Grade; B Lymphocytic Leukemia, Chronic"
Childhood Cancer Data Initiative (CCDI): Molecular Characterization    Initiative,"The National Cancer Institute's (NCI) Childhood Cancer Data Initiative (CCDI) focuses on the critical need to collect, analyze, and share data to address the burden of cancer in children, adolescents,  and young adults (AYAs). The Molecular Characterization Initiative (MCI) will further the CCDI's goals by providing access to better diagnostic tests",phs002790.v7.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002790,"Malcolm Smith, MD, PhD",,,37267580,,2024-07-10,GRU,WXS;OTHER,Aggregate Genomic Data;Clinical Diagnostic Testing;Exome Sequencing;Individual-Level Genomic Data;Transcriptome Analysis;Tumor vs. Matched-Normal,Neoplasms,3014.0,8485.0,https://www.cancer.gov/research/areas/childhood/childhood-cancer-data-initiative/data-ecosystem/molecular-characterization,,Childhood;Pediatric;Central Nervous System (SNS);Soft Tissue Sarcomas (STS);Rare cancers,Blastoma; CA; CA - Cancer; Cancer; MT; Malignancies
ILyAD (Indolent Lymphoma And vitamin D),"Indolent non-Hodgkin lymphomas are incurable diseases, and require intermittent and often morbid and expensive therapy during their prolonged natural history. Lower intensity and better-tolerated, cost-effective treatment strategies are needed for  these patients. Low vitamin D levels at diagnosis of indolent lymphomas are strongly associated with inferior outcomes to treatment. Standard therapy",phs003503.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003503,"Jonathan W. Friedberg, MD, MMSc",Tamara Walton,Division of Cancer Treatment and Diagnosis (DCTD),,R01CA214890,2024-07-08,GRU-IRB,WXS;Seq_DNA_SNP_CNV,Clinical Trial;Double-Blind;Exome Sequencing;Placebo-Controlled;Randomized Controlled Clinical Trial,"Lymphoma, Non-Hodgkin",185.0,185.0,,,,Interdigitating cell sarcoma; Reticulosarcomas; Reticulum Cell Sarcoma; Reticulum Cell Sarcomas; Reticulum cell sarcoma morphology; Reticulum-Cell Sarcoma
