type	dataset_uuid	dataset_source_repo	dataset_title	description	dataset_source_id	dataset_source_url	PI_name	GPA	dataset_doc	dataset_pmid	funding_source	release_date	limitations_for_reuse	assay_method	study_type	primary_disease	participant_count	sample_count	study_links	related_genes	related_diseases	related_terms
dataset	6e09e094-0b81-4b8d-86ec-1e5f13986015	dbGaP	Advancing Precision Oncology in a Humanized, Fully Autologous Mouse Model	<p>Progress in the early detection and treatment of cancer requires accurate model systems to further evaluate new, promising discoveries. Small animal and, in particular, mouse model systems are attractive to researchers for numerous reasons, including their ease of use and well-described platforms. </p><p>The ability to grow human tumors in immune-deficient mice (so-called patient-derived xenografts, or PDXs) allows researchers to work directly with human cancer tissue in a controlled setting. However, PDX models are limited by their lack of an intact immune system. Immunotherapy has revolutionized clinical oncology, but lacks pre-clinical models of the human immune system and human cancer to investigate new modalities and limitations/toxicities of treatment regimens. The broad objective of this study is to validate an in vivo model to evaluate human tumors in the context of a complete and intact human immune system in a completely personalized and autologous fashion to study cancer immunotherapy. Herein, we will: (1) validate the ability of our humanized system to serve as a model for cancer immunotherapy treatment response and toxicity in patients with melanoma, including immunotherapy checkpoint blockade and vaccine strategies, and (2) extend our current work in melanoma by validating the ability to establish humanized mice and evaluate tumor growth and leukocyte development in autologous human pancreatic and colorectal tumors established in humanized mice. In each of these areas, we will leverage our multi-institutional team's individual expertise along with our institutional infrastructure to maximize the success of the experimental aims. The results from this project will be widely available to the general research community for future, hypothesis-driven research. Taken together, our study will meet multiple goals and address several unmet needs in cancer immunotherapy, thus significantly enhancing the applicability of a fully autologous and immunocompetent precision model system for use in translational oncology research. </p>	phs003090	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003090	Ryan C. Fields;Richard A. Flavell	Ian Fingerman	Division of Cancer Biology (DCB)			2/14/2023	GRU	RNA-Seq;WXS	Cohort	Melanoma	4.0	40.0		VEGFA	Heterografts;Cell Line;Tumor Microenvironment	Cancer of skin pigment cells;MM - malignant melanoma;Malignant Melanoma;Malignant Melanomas;Melanoma, Malignant;Melanomas
dataset	2e76b202-b26e-4bf8-9ee4-e2c6556c6f0a	dbGaP	Urothelial Cancer - Genomic Analysis to Improve Patient Outcomes and Research (UC-GENOME): a Bladder Cancer Advocacy Network (BCAN)-Led Collaborative Research Pilot Study - for Samples Collected at Johns Hopkins	<p>UC-GENOME is a real-world cohort of patients with metastatic urothelial carcinoma (UC). The study consisted of two co-equal aims: 1) to provide targeted DNA sequencing for clinical decision making at no cost to patients; and 2) to create a resource for collaborative translational science including a clinically annotated biobank. The submitted data represents the foundational analysis of 218 patients accrued at 7 academic medical centers. The analysis includes 176 patients with both targeted DNA sequencing and RNA sequencing. The genomic data was combined with clinical variables to model response to chemotherapy and immune checkpoint inhibitors (ICI).</p><p>The larger dataset for this study can be found in dbGaP study <a href='study.cgi?study_id=phs003066'>phs003066</a>.<br></p>	phs003094	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003094	Matthew Milowsky MD;William Kim MD	Tamara Walton	Division of Cancer Treatment and Diagnosis (DCTD)	36333289	James Family Foundation, The JPB Foundation, and The Gerald C. McNamara and Renee K. Petrofes Charitable Fund;R01-CA241810;P30-CA016086	2/9/2023	DS-TCC-IRB-NPU	RNA-Seq;Targeted-Capture	Prospective	Urinary Bladder Neoplasms	8.0	14.0	https://clinicaltrials.gov/ct2/show/NCT02643043	TP53;APOBEC3A;APOBEC3B;KMT2D;ARID1A;FGFR3;CD8;ERCC2;FANCC;ATM;RB1	Cancer of Urinary Tract;Immunotherapy	Bladder Cancer;Cancer of Urinary Tract;Bladder Cancers;Cancer of Bladder;Cancer of the Bladder;Cancer, Bladder
dataset	a0997539-be34-4971-9249-3e7d1eb3390f	dbGaP	Metastatic Colorectal Adenocarcinoma Tumor Purity Assessment from Whole Exome Sequencing Data	<p>As molecular medicine wields greater and greater influence on cancer patient care, including therapeutic selection, it becomes increasingly important to understand the power and deficiencies of computational tools used in decision making processes. Here we use a set of unselected metastatic colorectal tumor samples in a head-to-head comparison between the calculation of stromal content by a board certified pathologist, versus that derived from whole exome sequencing and purity assessment by a variety of common computational methods. We find that in about one half of samples the computational methods each do a poor job of assessing the percent stromal contamination, and as a result, tumor variant allele frequencies (VAFs) are low or undetected, whereas analysis of organoids derived from the same tumors yielded much higher VAFs in keeping with their lower stromal content. The whole exome sequence of our samples is available via dbGaP, accession phs003059.v1.p1.</p>	phs003059	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003059	Luika Timmerman;Robert S. Warren	Joseph Flores-Toro	Office of Data Sharing (ODS)	22439926;22865778;20407439;25706628;33425983;24562872;33015524;26634437;25544022;25319062;27999612;30343529;19451168;19505943;20601685;29165669;32807924;29692415;22810696;29316426;33495476;24323355;No PMID: Scaling accurate genetic variant discovery to tens of thousands of samples | Poplin R, Ruano-Rubio V, DePristo MA, Fennell TJ, Carneiro MO, Van der Auwera GA, et al.		2/8/2023	GRU	WXS	Case Set;Exome Sequencing;Metastasis;Sequencing;Tumor;Tumor vs. Matched-Normal;Xenograft	Colorectal Neoplasms	18.0	30.0		KRAS;TP53	Neoplasm Metastases	Neoplasm Metastases;CRC;Cancer of Large Bowel;Cancer of Large Intestine;Cancer of the Large Bowel;Cancer of the Large Intestine
dataset	0f62ccdb-cf1b-4de2-b490-6ad306d64584	dbGaP	Genomic Characterization CS-MATCH-0007 Arm Y	<p>The CS-MATCH-0007 protocol is a collaboration between the Center for Cancer Genomics (CCG) and the Division of Cancer Treatment and Diagnosis (DCTD) to perform whole-exome sequencing and RNA sequencing using pre-and post-treatment tumor biopsy specimens from all patients enrolled on a treatment arm of the <a href='https://clinicaltrials.gov/ct2/show/NCT02465060?term=NCT02465060&#38;rank=1' target='_blank'>NCI-MATCH Clinical Trial (EAY131)</a>. The goal of this study is to identify the molecular basis for response and resistance to targeted therapies that are matched to their corresponding genomic alterations. Arm Y is one of the treatment sub-protocols within the <a href='https://clinicaltrials.gov/ct2/show/NCT02465060?term=NCT02465060&#38;rank=1' target='_blank'>NCI-MATCH Clinical Trial (EAY131)</a> where patients with AKT mutations are treated with AZD5363. This subprotocol is one of the treatment arms in the EAY-131 trial included in the CS-MATCH-0007 protocol and will provide specimens for the program including DNA from tumor tissue and whole blood and RNA from tumor tissue. A fuller genomic landscape of tumors from these patients will enable discovery of potential molecular features correlated to clinical outcomes or lay the foundation for future studies leading to new and more effective treatments.</p>	phs001904	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001904	Lyndsay Harris, MD	Grace Mishkin	Division of Cancer Treatment and Diagnosis (DCTD)	33048619;31922567;33377972;37322121	Division of Cancer Treatment and Diagnosis	2/7/2023	GRU-COL		Cohort;Exome Sequencing;RNA Sequencing	Neoplasms	31.0	31.0	https://www.cancer.gov/about-cancer/treatment/clinical-trials/nci-supported/nci-match	AKT1		Blastoma;CA;CA - Cancer;Cancer;MT;Malignancies
dataset	2cf25316-1af3-4eaa-96c7-21014b188205	dbGaP	An Advanced Molecular Medicine Case Report of a Rare Human Tumor Using Genomics, Pathomics, and Radiomics	<p>The associated data of this study is derived from a single female patient with pulmonary sclerosing pneumocytoma (PSP). The aim of this study is to provide the most comprehensive, multi-modality sequencing study of a single case of PSP to-date. To this end, the following sequencing experiments were performed: i) RNA-Seq of the primary tumor and adjacent normal tissues (6 replicates for each tissue type), which was intended to analyze RNA-Seq fusions, gene expression, expression mutations, ii) low-pass DNA whole genome sequencing (WGS) from primary tumor tissue and germline, which was intended to analyze copy number aberrations, and iii) DNA targeted panel sequencing of lung cancer associated genes, using primary tumor tissue and germline from white blood cells, which was intended to analyze somatic mutations. </p><p>Principal findings: i) the PSP hallmark mutation <a href='https://www.ncbi.nlm.nih.gov/gene/207' target='_blank'>AKT1</a> (p.E17K) was detected within both the DNA and RNA, and ii) the TP53 signaling pathway was found to be statistically significant by three different pathway analysis tools of analyzing gene expression and pathway ramifications. Among proteins within the TP53 signaling pathway, the p53 inhibitor encoded by <a href='https://www.ncbi.nlm.nih.gov/gene/?term=MDM2' target='_blank'>MDM2</a> was found to be overexpressed (by differential gene expression analysis). </p><p>The original sequencing data (i.e., FastQ files) from each of the aforementioned samples will be accessible through dbGaP.</p><p> </p><p> </p>	phs003154	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003154	Donald J. Johann, Jr.	Nathaniel Boyd	Office of Data Sharing (ODS)			2/6/2023	GRU-PUB	RNA-Seq;Targeted-Capture;WGS	Case-Control;Copy Number Variation (CNV);Full Transcriptome Sequencing;RNA Sequencing;Single Patient;Tumor vs. Matched-Normal	Pulmonary Sclerosing Hemangioma	1.0	16.0		AKT1;MDM2		Hemangioma, Sclerosing, Pulmonary;Lung Sclerosing Angioma;Lung Sclerosing Hemangioma;Lung Sclerosing Hemangiomas;Pneumocytoma;Pulmonary Sclerosing Hemangiomas
dataset	a38f5dcf-ac7d-4959-8bc1-24e8b1c27fc6	dbGaP	Novel Strategies to Eliminate Resistance to B-cell Receptor Inhibitor Therapy in Lymphoid Malignancies	<p>Ibrutinib and acalabrutinib are BTK inhibitors (BTKi) used as frontline therapies for chronic lymphocytic leukemia (CLL). Clonal evolution during ibrutinib treatment has previously been studied, but limited study of clonal evolution in patients receiving acalabrutinib has been done. Our group analyzed 216 blood samples from 38 CLL patients at multiple time points during their BTKi treatment. Samples were prepared by standard protocols and sequenced using 200x Illumina sequencing. Using the longitudinal data, we reconstructed the clonal evolution of each patient using somatic mutations found within the B-cell populations. Three patterns of clonal evolution were identified: 1) new clone emergence, 2) clonal selection, and 3) clonal replacement. As previously seen in ibrutinib treatment, the evolution of subclones containing CLL-driver mutations was associated with worse clinical outcomes for patients treated with acalabrutinib (Log-rank p=0.04). Understanding clonal evolution during treatment with acalabrutinib can help determine and modify the clinical course of patients with CLL. </p>	phs003042	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003042	Deborah M. Stephens, DO	Mariam Eljanne	Center for Cancer Training (CCT)	35476648	K23 CA212271	2/6/2023	GRU	WXS	Case Set;Longitudinal	Clonal Evolution	38.0	216.0		BTK;TP53	Leukemia, Lymphocytic, Chronic, B-Cell;acalabrutinib;ibrutinib	Evolution, Clonal;B Cell CLL;B Cell Chronic Lymphocytic Leukemia;B Cell Leukemia, Chronic;B Cell Lymphocytic Leukemia;B Cell Malignancy, Low Grade
dataset	d4e87f4d-fc0c-48ae-bb41-2872129812f4	dbGaP	SU2C-MARK Lung Cancer Consortium - Checkpoint Blockade Response Project	<p>Immune checkpoint inhibitors have become a critical part of the armamentarium against advanced Non-Small Cell Lung Cancer (NSCLC). While early studies have identified Tumor Mutation Burden (TMB) and PD-L1 staining as important biomarkers of response, they remain imperfect predictors. Here we describe a multi-institutional effort as part of the SU2C-MARK Lung Cancer Consortium in which Whole Exome Sequencing (WES) - and in select cases, RNA sequencing &#8211; was performed on a large collection of NSCLC samples prior to immune checkpoint blockade therapy, along with matched clinical response data following therapy. (Profiling of a small number of on- or post-treatment samples was also performed.) We anticipate this dataset to be of high value for the development of a deep understanding of the molecular determinants of immune checkpoint blockade response as well as the discovery of novel biomarkers.</p>	phs002822	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002822	Justin Gainor	Freddie Pruitt	Center for Cancer Genomics (CCG)		Stand Up To Cancer (SU2C) - American Cancer Society Lung Cancer Dream Team Translational Research Grant;Mark Foundation for Cancer Research - Expanding Therapeutic Options for Lung Cancer (EXTOL)	2/2/2023	DS-CATHLU-MDS;HMB-MDS;GRU	Seq_RNA_SNP_MAF_Ind;Targeted-Capture	Clinical Cohort	Carcinoma, Non-Small-Cell Lung	230.0	463.0			Squamous Cell Carcinoma;Adenocarcinoma;Large Cell Carcinoma	Adenocarcinoma;Large Cell Carcinoma;ADNOS;Adenocarcinomas;Adenoma, Malignant;Adenomas, Malignant
dataset	2be90d85-22a2-4442-87ec-e1fad30d5931	dbGaP	Whole-Genome Sequencing Analysis of Extrachromosomal DNA with Amplicon Architect	<p>The study is related to our manuscript entitled 'Single-cell genetic heterogeneity linked to immune infiltration in glioblastoma'. Using multiplexed FISH analysis of 3-4 tumor cores from 17 glioblastoma formalin-fixed paraffin-embedded (FFPE) tumors, we identified two classes of tumors based on single cell co-occurrence of EGFR and CDK4 amplification. Tumors with a low odds ratio for finding EGFR and CDK4 amplified in the same cell (ORlow tumors) had higher EGFR copy number and higher diversity of copy number in cells harboring EGFR amplification. This suggested that in ORlow tumors EGFR is likely present on extrachromosomal DNA. To test this hypothesis, we performed whole genome sequencing on DNA extracted from FFPE slides from 3 ORlow samples and 3 ORhigh samples and used AmpliconArchitect to investigate the structure of the EGFR amplicon. We found multiple breakpoints and high complexity structure in the 3 tested ORlow samples, but not in the ORhigh samples, supporting the possibility of an extrachromosomal nature of EGFR amplification in the first group.</p>	phs003100	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003100	Michalina Janiszewska	Freddie Pruitt	Center for Cancer Genomics (CCG)			1/31/2023	GRU	WGS	Tumor;Whole Genome Sequencing	Glioblastoma	6.0	6.0	https://www.biorxiv.org/content/10.1101/2021.09.20.461080v1	EGFR;CDK4	DNA Copy Number Variations;Genomic Structural Variation	Astrocytoma, Grade IV;Astrocytomas, Grade IV;GBM;GBM (glioblastoma);Giant cell glioblastoma (histologic variant);Glioblastoma multiforme
dataset	d7095f22-af2a-4be7-a608-1b92bf5ffb95	dbGaP	RNA-Sequencing of B-Lymphoblastic Leukemia with Glucocorticoids and PI3K Delta Inhibition	<p>Mononuclear cells were isolated from bone marrow or peripheral blood of 7 pediatric subjects with B-lymphoblastic leukemia at the time of diagnosis. To determine the effect of PI3K delta inhibition on glucocorticoid-induced gene regulation, B-lymphoblastic leukemia cells were treated with glucocorticoids +/- the PI3K delta inhibitor, idelalisib, for 24 hours prior to RNA extraction and sequencing. Biological replicates were performed for 4 of the 7 subjects; 2 of these subjects had specimens demonstrating an additive response to the combination of glucocorticoids and idelalisib in viability testing in vitro, and 2 subjects' specimens demonstrated a synergistic response. All 7 subjects were analyzed together and the 4 specimens with biological replicates were also evaluated in an additional analysis. An average of 40 million reads per specimen and treatment condition were obtained. We compared gene expression in each treatment condition to vehicle-treated cells and expression in glucocorticoid or idelalisib only treated cells to combination treated cells. Using a high dose of dexamethasone (25 or 50 nM) and an equivalent dose of prednisolone, we found that the addition of idelalisib (500 nM) enhanced prednisolone-induced gene regulation but not dexamethasone-induced gene regulation. Surprisingly, the specimens with additive response to combination therapy demonstrated enhancement of prednisolone-induced gene regulation with the addition of idelalisib, while the specimens with synergistic responses did not. Raw sequencing data (FASTQ) and count tables will be available through dbGaP. </p>	phs003085	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003085	Miles A. Pufall, PhD	Freddie Pruitt	Center for Cancer Genomics (CCG)		P30CA086862;K12HD027748;Aiming for a Cure Foundation Grant	1/31/2023	GRU	RNA-Seq;Seq_RNA_Expression	Case Set;RNA Sequencing;Tumor	Precursor B-Cell Lymphoblastic Leukemia-Lymphoma	7.0	65.0				Leukemia, Pre B Cell;Leukemia, Pre-B-Cell;Leukemias, Pre-B-Cell;Pre B ALL;Pre B Cell Leukemia;Pre B-ALL
dataset	7fa417fa-6af1-45ab-aae4-7a78765c767d	dbGaP	Targeted Long-Read Sequencing of the Ewing Sarcoma 6p25.1 Susceptibility Locus	<p>Ewing Sarcoma (EwS) is rare but the second most common cancer in children, adolescents and young adults. Recent studies suggest germline variation in or around GGAA microsatellites may interact with fusion oncoprotein binding causing changes in binding affinity and potentially impacting enhancer activity on nearby target genes. This study aims to better understand germline variation around EwS susceptibility regions by performing long-range haplotype sequencing of these regions using PacBio sequencing. Our analysis focused on characterizing variation in GGAA microsatellite length as well as germline variants in or around the microsatellite and their association with EwS risk.</p><p> </p>	phs003159	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003159	Mitchell Machiela	Geoffrey Tobias	Division of Cancer Epidemiology and Genetics (DCEG)	30093639		1/27/2023	DS-ES	AMPLICON	Case-Control	Sarcoma, Ewing	231.0	462.0		RREB1		ES;Ewing Sarcoma;Ewing Tumor;Ewing tumour;Ewing's Sarcoma;Ewing's Tumor
dataset	24e9db76-b19b-43da-8cb1-492da4647cf2	dbGaP	Radiation-Related Genomic Profile of Papillary Thyroid Cancer after the Chernobyl Accident	<p>The April 26, 1986 accident at the Chernobyl nuclear power plant in northern Ukraine resulted in the release of radioactive contaminants, which were deposited in the surrounding areas in Ukraine, Belarus, and Russia. The main radiation-related health effect resulting from these exposures is the increased occurrence of thyroid cancer among individuals who were children at the time of the accident or born shortly thereafter.</p> <p>The purpose of this study was to conduct a comprehensive genomic landscape analysis of papillary thyroid tumors arising in individuals who were exposed as children to radioactive iodine (I-131) from the Chernobyl nuclear power plant accident.</p>	phs001134	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001134	Stephen J. Chanock, MD			22394998	Intramural funds, ZIA CP010132-19	1/24/2023	NRUP;GRU	Array_SNP	Case Set	Thyroid Cancer, Papillary	442.0	4615.0	https://www.chernobyltissuebank.com/		Chernobyl Nuclear Accident;Neoplasms, Radiation-Induced;Iodine Radioisotopes	Neoplasms, Radiation-Induced;Neoplasm, Radiation-Induced;Neoplasms, Radiation Induced;Radiation Induced Neoplasm;Radiation Induced Neoplasms;Radiation-Induced Neoplasm
dataset	44695b99-3409-4c19-bea0-6519779f5b39	dbGaP	Multi-Modal Single-Cell and Whole-Genome Sequencing of Small, Frozen Clinical Specimens	<p>Clinical application of single-cell sequencing technologies has been hampered by their need for quick processing of relatively large, fresh specimens. Here, we benchmarked the performance of a new technique for single-cell sequencing from snap-frozen clinical samples, vs. sequencing from fresh samples, on 5 samples from cutaneous melanoma brain metastasis, 6 samples from NSCLC brain metastasis, and 3 from uveal melanoma primary tumor. Additionally, we performed frozen sample sequencing of 20 uveal melanoma liver metastasis samples, and 3 cutaneous melanoma extracranial metastasis samples. Finally, for selected groups of the above-mentioned samples, we also performed TCR sequencing, SlideSeqV2 spatial transcriptomics, ultra-shallow whole-genome sequencing, and whole-exome sequencing, to present a comprehensive multi-modal profiling of all datasets.<br></p>	phs003097	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003097	Benjamin Izar, MD, PhD	Freddie Pruitt	Center for Cancer Genomics (CCG)	36624340		1/18/2023	GRU	WXS;OTHER;WGS	Cohort;Collection;Epigenetics;Metastasis;RNA Sequencing;Sequencing;Single Cell Analysis;Tumor	Neoplasm Metastasis	41.0	94.0			Melanoma;Uveal melanoma;Carcinoma, Non-Small-Cell Lung	Carcinoma, Non Small Cell Lung;Carcinoma, Non-Small Cell Lung;Carcinoma, Non-Small-Cell Lung;Carcinomas, Non-Small-Cell Lung;Lung Carcinoma, Non-Small-Cell;Lung Carcinomas, Non-Small-Cell
dataset	b1821568-75e1-4503-b6cc-57643179e71d	dbGaP	Urothelial Cancer - Genomic Analysis to Improve Patient Outcomes and Research (UC-GENOME): A Bladder Cancer Advocacy Network (BCAN)-Led Collaborative Research Pilot Study	<p>UC-GENOME is a real-world cohort of patients with metastatic urothelial carcinoma (UC). The study consisted of two co-equal aims: 1) to provide targeted DNA sequencing for clinical decision making at no cost to patients; and 2) to create a resource for collaborative translational science including a clinically annotated biobank. The submitted data represents the foundational analysis of 218 patients accrued at 7 academic medical centers. The analysis includes 176 patients with both targeted DNA sequencing and RNA sequencing. The genomic data was combined with clinical variables to model response to chemotherapy and immune checkpoint inhibitors (ICI). </p><p>Due to additional sharing restrictions, data from one site can be found in <a href='study.cgi?study_id=phs003094'>phs003094</a>.<br></p>	phs003066	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003066	Matthew Milowsky MD;William Kim MD	Tamara Walton	Division of Cancer Treatment and Diagnosis (DCTD)	No PMID: Urothelial Cancer - Genomic Analysis to Improve Patient Outcomes and Research (UC-GENOME): a Bladder Cancer Advocacy Network (BCAN)-led Collaborative Research Pilot Study | Damrauer JS, Beck W, Klomp G, Zhou M, Plimack ER, Galsky MD, Grivas P, Hahn NM, O'Donnell PH, Iyer G, Quinn DI, Vincent BG, Quale, DZ, Wobker SE, Hoadley KA, Kim WY, Milowsky MI	James Family Foundation, The JPB Foundation, and The Gerald C. McNamara and Renee K. Petrofes Charitable Fund;R01-CA241810;P30-CA016086	1/12/2023	DS-UC	RNA-Seq;Targeted-Capture	Prospective	Urinary Bladder Neoplasms	194.0	353.0	https://clinicaltrials.gov/ct2/show/NCT02643043	TP53;APOBEC3A;APOBEC3B;KMT2D;ARID1A;FGFR3;CD8;ERCC2;FANCC;ATM;RB1	Cancer of the Urinary Tract;Immunotherapy	Bladder Cancer;Cancer of the Urinary Tract;Bladder Cancers;Cancer of Bladder;Cancer of the Bladder;Cancer, Bladder
dataset	bfef1167-ee72-4d1c-a171-75eca8073165	dbGaP	Genomic Characterization CS-MATCH-0007 Arm Q	<p>The CS-MATCH-0007 protocol is part of a collaboration between the Center for Cancer Genomics (CCG) and the Division of Cancer Treatment and Diagnosis (DCTD) to perform whole-exome sequencing and RNA sequencing using pre-and post-treatment tumor biopsy specimens from patients enrolled on a treatment arm of the <a href='https://clinicaltrials.gov/ct2/show/NCT02465060?term=NCT02465060&#38;draw=2&#38;rank=1' target='_blank'>NCI-MATCH Clinical Trial (EAY131)</a>. The goal of this study is to identify the molecular basis for response and resistance to targeted therapies that are matched to specific genomic alterations found in their cancers. Arm Q is one of the treatment sub-protocols within the <a href='https://clinicaltrials.gov/ct2/show/NCT02465060?term=NCT02465060&#38;draw=2&#38;rank=1' target='_blank'>NCI-MATCH Clinical Trial (EAY131)</a> where patients with HER2 amplification are treated with Kadcyla<sup>&#174;</sup> (ado-trastuzumab emtansine). This subprotocol is one of the treatment arms included in the CS-MATCH-0007 protocol and will provide specimens for the program including tumor tissue and whole blood.</p>	phs001926	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001926	Lyndsay Harris, MD	Grace Mishkin	Division of Cancer Treatment and Diagnosis (DCTD)	33048619;31922567;31504139;37322121	Division of Cancer Treatment and Diagnosis	1/10/2023	GRU-COL		Cohort;Exome Sequencing;RNA Sequencing	Neoplasms	35.0	35.0	https://www.cancer.gov/about-cancer/treatment/clinical-trials/nci-supported/nci-match	HER2		Blastoma;CA;CA - Cancer;Cancer;MT;Malignancies
dataset	72da12c8-bc89-4a16-b299-2280c722cc47	dbGaP	Aurora US Metastatic Breast Cancer Retrospective Project	<p>The <a href='https://auroraus.org/' target='_blank'>AURORA US</a> Metastatic Breast Cancer project is funded by the <a href='https://www.bcrf.org/evelyn-h-lauder-founders-fund-metastatic-breast-cancer-research/' target='_blank'>Breast Cancer Research Foundation (BCRF) Evelyn H. Lauder Founder's Fund for Metastatic Breast Cancer Research</a>. This multi-center effort conducted within the Translational Breast Cancer Research Consortium (TBCRC) and cancer researchers to better understand the metastatic process through the study of both the primary and metastatic tissue. In the retrospective phase, TBCRC sites submitted matched primary and metastatic tissues and blood from previous collections for piloting the process. Samples were profiled using whole genome DNA sequencing, whole exome DNA sequencing, DNA methylation arrays, and RNA sequencing. The final freeze set for samples with successful nucleic acid extraction and molecular assays included 55 patients with 31 primary tissues and 102 metastases. Twenty patients had tissue collected at autopsy and included 19 with more than one metastasis. Metastases were from 20 different tissue locations with the most common sites being liver, lung, lymph node, and brain. The median age at primary diagnosis was 49 years. The clinical subtypes of the primary tumors were 34% Triple Negative, 30% ER+HER2-, 11% ER+HER2+, and 7% ER-HER2+. Patients received an average of 3 lines of therapy in the metastatic setting. The median overall survival from primary diagnosis was 4.5 years and overall survival from metastatic diagnosis was 2 years. <br> </p>	phs002622	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002622	Charles M. Perou;Tari King	Freddie Pruitt	Center for Cancer Genomics (CCG)	36585450		1/6/2023	DS-BRCA;NRUP;HMB;GRU	Array_DNA_Methylation;WXS;RNA-Seq;WGS	Case Set	Breast Neoplasms	58.0	477.0	https://auroraus.org/;https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE212375			Breast Cancer;Breast Malignant Neoplasm;Breast Malignant Neoplasms;Breast Malignant Tumor;Breast Malignant Tumors;CA - Breast cancer
dataset	912e58a1-6939-4f54-86bf-c8ea9cd5ee68	dbGaP	Genome Sequencing of Circulating Tumor Cells for Minimally Invasive Molecular Characterization of Multiple Myeloma Pathology	<p>&#8203;&#8203;Multiple Myeloma (MM) develops from well-defined precursor stages known as Monoclonal Gammopathy of Undetermined Significance (MGUS) and Smoldering MM (SMM); however, invasive bone marrow (BM) biopsy limits screening and monitoring strategies for patients. In this study, we enumerated circulating tumor cells (CTCs) from patients with precursor and overt diseases, and developed a novel approach, MinimuMM-seq, which enables detection of translocations and copy number abnormalities through whole-genome sequencing of highly pure CTCs. In a cohort of 51 patients, 24 with paired BM, we applied our method MinimuMM-seq and detected 100% of clinically reported BM biopsy events. The next-generation sequencing (NGS) assay could replace molecular cytogenetics by Fluorescence In Situ Hybridization (FISH) for diagnostic yield and risk classification. In 8 patients we could apply MinimuMM-seq on serially collected samples to track and monitor major clones in peripheral blood. We describe clonal evolution and shifting dynamics of subclones over time, as well as in between blood and marrow compartments. All whole-genome sequencing (WGS) data generated in this study will be made accessible through dbGaP.</p>	phs003084	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003084	Irene Ghobrial;Gad Getz	Ian Fingerman	Division of Cancer Biology (DCB)			1/5/2023	HMB	WGS	Tumor vs. Matched-Normal;Whole Genome Sequencing	Multiple Myeloma	51.0	135.0			Monoclonal Gammopathy of Undetermined Significance;Smoldering Multiple Myeloma	Monoclonal Gammopathy of Undetermined Significance;Smoldering Multiple Myeloma;Asymptomatic monoclonal gammopathy;Benign Monoclonal Gammapathies;Benign Monoclonal Gammapathy;Benign Monoclonal Gammopathies
dataset	8497e863-e868-4b7c-9ba2-6fc7bc71577e	dbGaP	Multiregional Single-Cell Transcriptomic Analysis of Liver Cancer	<p>In this study, we performed single-cell transcriptomic profiling of human liver tissues collected from hepatocellular carcinoma and intrahepatic cholangiocarcinoma patients. A total of seven primary liver cancer patients enrolled in this study. Samples were collected from multiple regions, including tumor core, tumor border and adjacent non-tumor tissue. The 10x Genomics platform was used to generate single cell 5' libraries. The Illumina NovaSeq 6000 platform was employed for sequencing.</p>	phs003117	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003117	Xin Wei Wang, PhD	Kathleen Calzone	Center for Cancer Research (CCR)			1/4/2023	HMB-IRB-NPU;DS-LCCLD-IRB-NPU;GRU-COL	RNA-Seq	Case Set;Single Cell Analysis	Carcinoma, Hepatocellular	7.0	34.0			Cholangiocarcinoma;Liver Neoplasms	Liver Neoplasms;Adult Liver Cancer;Adult Liver Cancers;Cancer, Adult Liver;Cancers, Adult Liver;Carcinoma of Liver Cells
